,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
96,5.0,5.0,2.4773124421198793,281.045,30.838,-109.303,1.115,37.86995934341476,26.74873318141261,97
97,5.0,5.0,2.4773124421198793,274.522,28.069,-118.901,1.119,37.86988634320011,26.691894153379103,98
98,5.0,5.0,2.4773124421198793,262.635,30.992,-125.937,1.19,37.86978734290896,26.63505311536122,99
99,5.0,5.0,2.4773124421198793,257.819,34.453,-124.615,1.168,37.869669342561956,26.57821407004722,100
100,5.0,5.0,2.4773124421198793,257.699,35.732,-116.663,0.987,37.86951634211202,26.52137301129303,101
101,5.0,5.0,2.4773124421198793,270.967,35.319,-94.368,0.817,37.86933734158563,26.464531942555027,102
102,5.0,5.0,2.4773124421198793,286.435,41.228,-69.094,0.643,37.86912734096809,26.407692861913457,103
103,5.0,5.0,2.4773124421198793,303.538,45.5,-64.362,0.297,37.86889834029468,26.3508517739767,104
104,5.0,5.0,2.4773124421198793,349.931,79.305,-40.14,0.114,37.86863933953302,26.29401267452105,105
105,5.0,5.0,2.4773124421198793,243.491,54.553,-124.808,0.327,37.83265923374199,27.430519870670334,106
106,5.0,5.0,2.4773124421198793,247.11,53.121,-122.735,0.509,37.8329182345034,27.373708969948503,107
107,5.0,5.0,2.4773124421198793,250.943,52.626,-115.306,0.663,37.83315923521193,27.316899062328172,108
108,5.0,5.0,2.4773124421198793,248.072,53.463,-113.225,0.814,37.83335723579401,27.260088138225992,109
109,5.0,5.0,2.4773124421198793,245.812,51.771,-112.163,0.877,37.83353623632025,27.203269206841327,110
110,5.0,5.0,2.4773124421198793,248.521,47.125,-102.628,0.91,37.83368923677005,27.146458265490672,111
111,5.0,5.0,2.4773124421198793,252.614,41.847,-96.105,0.797,37.83380723711695,27.08965031072381,112
112,5.0,5.0,2.4773124421198793,258.61,38.944,-102.93,0.946,37.833906237408,27.032839348673843,113
113,5.0,5.0,2.4773124421198793,259.408,39.759,-112.158,1.227,37.833979237622614,26.976019376657327,114
114,5.0,5.0,2.4773124421198793,260.982,40.407,-114.74,1.534,37.83401723773434,26.919209391224108,115
115,5.0,5.0,2.4773124421198793,264.783,39.1,-113.768,1.684,37.834028237766674,26.862399395440814,116
116,5.0,5.0,2.4773124421198793,269.123,37.386,-111.9,1.611,37.83401723773434,26.80558839122411,117
117,5.0,5.0,2.4773124421198793,271.083,34.922,-112.935,1.439,37.833979237622614,26.748780376657326,118
118,5.0,5.0,2.4773124421198793,264.378,35.557,-119.789,1.483,37.833906237408,26.691960348673845,119
119,5.0,5.0,2.4773124421198793,259.901,35.332,-122.03,1.528,37.83380723711695,26.63514931072381,120
120,5.0,5.0,2.4773124421198793,256.984,35.843,-121.477,1.478,37.83368923677005,26.578339265490673,121
121,5.0,5.0,2.4773124421198793,258.304,38.025,-112.022,1.324,37.83353623632025,26.52152920684133,122
122,5.0,5.0,2.4773124421198793,265.236,39.116,-98.903,1.094,37.83335723579401,26.46470913822599,123
123,5.0,5.0,2.4773124421198793,282.354,43.735,-71.294,0.879,37.83315923521193,26.407898062328172,124
124,5.0,5.0,2.4773124421198793,281.919,44.128,-77.884,0.504,37.8329182345034,26.3510879699485,125
125,5.0,5.0,2.4773124421198793,306.566,51.347,-65.749,0.138,37.83265923374199,26.294279870670334,126
126,5.0,5.0,2.4773124421198793,247.337,52.204,-122.235,0.401,37.796679127981825,27.430225091451604,127
127,5.0,5.0,2.4773124421198793,252.248,50.22,-117.853,0.587,37.796949128775324,27.373445194761576,128
128,5.0,5.0,2.4773124421198793,257.497,50.981,-108.458,0.798,37.79717812944838,27.316665282384825,129
129,5.0,5.0,2.4773124421198793,253.977,51.408,-105.56,0.945,37.79737713003323,27.259874358529853,130
130,5.0,5.0,2.4773124421198793,246.208,51.655,-110.316,1.097,37.79756013057107,27.203094428553335,131
131,5.0,5.0,2.4773124421198793,249.555,47.31,-102.876,1.113,37.797709131008986,27.146305485567456,132
132,5.0,5.0,2.4773124421198793,256.582,42.702,-95.133,1.016,37.7978381313881,27.089525534929017,133
133,5.0,5.0,2.4773124421198793,264.287,38.608,-94.05,1.087,37.79793013165851,27.0327365701328,134
134,5.0,5.0,2.4773124421198793,262.22,38.714,-106.261,1.408,37.79799813185836,26.975956596153097,135
135,5.0,5.0,2.4773124421198793,260.248,39.728,-113.48,1.675,37.79803713197298,26.91916461107654,136
136,5.0,5.0,2.4773124421198793,263.261,39.197,-113.437,1.87,37.79805913203765,26.862385619494905,137
137,5.0,5.0,2.4773124421198793,266.191,38.324,-112.819,1.832,37.79803713197298,26.80560561107654,138
138,5.0,5.0,2.4773124421198793,265.289,37.045,-116.292,1.69,37.79799813185836,26.748815596153097,139
139,5.0,5.0,2.4773124421198793,262.104,37.327,-120.249,1.661,37.79793013165851,26.692036570132803,140
140,5.0,5.0,2.4773124421198793,260.338,35.997,-120.527,1.75,37.7978381313881,26.635244534929015,141
141,5.0,5.0,2.4773124421198793,255.873,36.676,-121.664,1.666,37.797709131008986,26.578464485567455,142
142,5.0,5.0,2.4773124421198793,259.302,38.37,-110.675,1.548,37.79756013057107,26.521675428553333,143
143,5.0,5.0,2.4773124421198793,262.502,39.952,-101.257,1.288,37.79737713003323,26.46489535852985,144
144,5.0,5.0,2.4773124421198793,277.945,44.043,-77.174,1.06,37.79717812944838,26.408106282384825,145
145,5.0,5.0,2.4773124421198793,279.803,45.845,-75.426,0.656,37.796949128775324,26.351326194761576,146
146,5.0,5.0,2.4773124421198793,290.581,48.805,-68.872,0.258,37.796679127981825,26.294544091451602,147
