,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
0,5.0,5.0,0.017051224881768023,67.982,67.957,-160.676,0.244,37.84164093499575,26.22842991858149,1
1,5.0,5.0,0.017051224881768023,48.12,39.396,132.902,0.257,37.83720094750488,26.284952504633264,2
2,5.0,5.0,0.017051224881768023,65.701,38.356,108.737,0.343,37.83272996010083,26.34145310140562,3
3,5.0,5.0,0.017051224881768023,66.467,45.419,81.406,0.433,37.828232972769435,26.397954707106184,4
4,5.0,5.0,0.017051224881768023,53.336,48.741,61.972,0.424,37.82370098553613,26.454455324941268,5
5,5.0,5.0,0.017051224881768023,51.111,50.294,56.381,0.382,37.819153998344504,26.51093794776535,6
6,5.0,5.0,0.017051224881768023,60.004,48.873,63.548,0.288,37.81457201125088,26.56741958271046,7
7,5.0,5.0,0.017051224881768023,76.558,39.25,67.03,0.26,37.809960024241214,26.623902227984694,8
8,5.0,5.0,0.017051224881768023,70.917,44.247,48.273,0.288,37.805333037273186,26.680362878231563,9
9,5.0,5.0,0.017051224881768023,71.695,41.532,50.709,0.262,37.80067205040035,26.736823540221597,10
10,5.0,5.0,0.017051224881768023,80.844,37.008,63.837,0.28,37.79598306360576,26.793275211807774,11
11,5.0,5.0,0.017051224881768023,94.268,31.227,66.856,0.289,37.79127207687252,26.84971789084503,12
12,5.0,5.0,0.017051224881768023,118.991,25.9,72.975,0.323,37.78652309024569,26.906159583028487,13
13,5.0,5.0,0.017051224881768023,168.616,24.592,98.859,0.259,37.781751103683014,26.962592283005694,14
14,5.0,5.0,0.017051224881768023,57.61,54.97,76.435,0.329,37.77695211719571,27.01901299219539,15
15,5.0,5.0,0.017051224881768023,73.269,57.163,88.874,0.361,37.77213413076131,27.075424707742577,16
16,5.0,5.0,0.017051224881768023,71.044,58.428,79.605,0.285,37.76728214442197,27.131836434981658,17
17,5.0,5.0,0.017051224881768023,81.327,53.244,87.913,0.264,37.762403158158016,27.188238171412987,18
18,5.0,5.0,0.017051224881768023,113.628,19.106,54.436,0.291,37.757501171958154,27.24463091560662,19
19,5.0,5.0,0.017051224881768023,183.588,10.172,104.954,0.306,37.75256118586458,27.301021672891927,20
20,5.0,5.0,0.017051224881768023,159.159,11.646,73.415,0.278,37.747613199792895,27.357402432591254,21
21,5.0,5.0,0.017051224881768023,64.685,80.346,-165.886,0.268,37.868622858965914,26.231791272581113,22
22,5.0,5.0,0.017051224881768023,40.891,29.916,118.089,0.384,37.86418287147829,26.288322860758743,23
23,5.0,5.0,0.017051224881768023,47.842,30.482,95.774,0.431,37.8596998841113,26.34485446396225,24
24,5.0,5.0,0.017051224881768023,50.87,43.489,72.094,0.467,37.855202896783226,26.401374071813983,25
25,5.0,5.0,0.017051224881768023,35.225,51.58,46.743,0.476,37.85068190952224,26.457886687884866,26
26,5.0,5.0,0.017051224881768023,33.414,51.841,38.078,0.402,37.84612392236494,26.514397316814602,27
27,5.0,5.0,0.017051224881768023,36.359,53.168,30.852,0.229,37.841541935274684,26.570900953949966,28
28,5.0,5.0,0.017051224881768023,56.998,28.499,29.148,0.298,37.83692994826839,26.62739260142826,29
29,5.0,5.0,0.017051224881768023,49.545,31.581,18.697,0.329,37.83230296130377,26.683883253885814,30
30,5.0,5.0,0.017051224881768023,48.083,34.174,18.934,0.294,37.827629974468145,26.740365922386346,31
31,5.0,5.0,0.017051224881768023,78.865,27.622,56.616,0.258,37.822941987674184,26.7968365958538,32
32,5.0,5.0,0.017051224881768023,136.383,20.529,85.57,0.251,37.818231000944415,26.853297277139287,33
33,5.0,5.0,0.017051224881768023,175.575,20.869,104.925,0.34,37.81348101432389,26.909748971945294,34
34,5.0,5.0,0.017051224881768023,209.599,27.616,136.49,0.306,37.808713027753434,26.966200672771915,35
35,5.0,5.0,0.017051224881768023,40.513,56.045,74.822,0.329,37.80391004128096,27.022654385676717,36
36,5.0,5.0,0.017051224881768023,86.268,58.42,106.981,0.447,37.799081054881064,27.079085107442342,37
37,5.0,5.0,0.017051224881768023,72.104,62.328,90.542,0.362,37.79423206853686,27.135517835923718,38
