      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -50.00    -20.00      22.036301       0.033669       0.033669        20      19.0      20.0       0.247833     104.110001     333.790009      31.690001      68.220001      44.919998     113.620003
    -50.00    -15.00      19.027229       0.040705       0.040705        20      19.0      20.0       0.247833     100.339996     352.700012      27.469999      81.040001      19.730000     116.070000
    -50.00    -10.00      16.018150       0.042275       0.042275        20      19.0      20.0       0.247833      93.489998     189.110001      36.200001      85.900002      -6.960000    -125.989998
    -50.00     -5.00      13.009080       0.035760       0.035760        20      19.0      20.0       0.247833      99.440002     209.949997      48.639999      68.300003     -29.510000    -134.669998
    -50.00      0.00      10.000000       0.035287       0.035287        20      19.0      20.0       0.247833     111.169998     230.539993      48.880001      60.669998     -40.560001    -131.029999
    -50.00      5.00       6.990920       0.035672       0.035672        20      19.0      20.0       0.247833     119.050003     240.500000      50.080002      58.049999     -43.630001    -130.860001
    -50.00     10.00       3.981850       0.036286       0.036286        20      19.0      20.0       0.247833     132.039993     258.859985      57.709999      46.520000     -54.490002    -132.580002
    -45.00    -20.00      22.036301       0.038737       0.038737        20      19.0      20.0       0.247833     106.339996     331.640015      28.420000      69.160004      48.369999     109.769997
    -45.00    -15.00      19.027229       0.054898       0.054898        20      19.0      20.0       0.247833     101.820000     351.149994      26.809999      79.879997      22.910000     114.959999
    -45.00    -10.00      16.018150       0.061966       0.061966        20      19.0      20.0       0.247833      94.800003     191.300003      34.650002      85.519997      -7.890000    -124.400002
    -45.00     -5.00      13.009080       0.057224       0.057224        20      19.0      20.0       0.247833     101.639999     213.520004      40.900002      72.110001     -27.980000    -127.419998
    -45.00      0.00      10.000000       0.052615       0.052615        20      19.0      20.0       0.247833     112.180000     231.410004      46.290001      62.939999     -39.000000    -129.110001
    -45.00      5.00       6.990920       0.051624       0.051624        20      19.0      20.0       0.247833     122.010002     242.300003      48.610001      60.220001     -41.459999    -130.380005
    -45.00     10.00       3.981850       0.053579       0.053579        20      19.0      20.0       0.247833     130.240005     253.029999      52.669998      54.619999     -46.730000    -131.949997
    -40.00    -20.00      22.036301       0.036266       0.036266        20      19.0      20.0       0.247833     102.910004     323.100006      29.920000      66.269997      53.779999     108.779999
    -40.00    -15.00      19.027229       0.049313       0.049313        20      19.0      20.0       0.247833     104.410004     344.709991      24.250000      77.419998      32.029999     110.900002
    -40.00    -10.00      16.018150       0.052014       0.052014        20      19.0      20.0       0.247833      96.330002     196.639999      40.029999      81.449997     -13.360000    -129.259995
    -40.00     -5.00      13.009080       0.051925       0.051925        20      19.0      20.0       0.247833     106.620003     222.830002      40.049999      69.639999     -32.730000    -125.260002
    -40.00      0.00      10.000000       0.042860       0.042860        20      19.0      20.0       0.247833     116.470001     234.360001      47.160000      63.230000     -37.900002    -130.399994
