   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.208      27.403500      38.030529      22.036301      5.00      5.00   182.415    13.201    91.291    -50.00    -20.00    1
    2     0.238      27.346550      38.030788      22.036301      5.00      5.00   153.792    10.798    71.250    -45.00    -20.00    1
    3     0.207      27.289600      38.031029      22.036301      5.00      5.00   304.826    65.254    99.868    -40.00    -20.00    0
    4     0.283      27.232651      38.031231      22.036301      5.00      5.00   295.215    54.708   108.688    -35.00    -20.00    0
    5     0.283      27.175699      38.031410      22.036301      5.00      5.00   279.495    46.417    93.164    -30.00    -20.00    0
    6     0.185      27.118750      38.031559      22.036301      5.00      5.00   270.030    64.078    65.887    -25.00    -20.00    0
    7     0.093      27.061800      38.031689      22.036301      5.00      5.00   109.736    74.462    40.332    -20.00    -20.00    1
    8     0.167      27.004850      38.031780      22.036301      5.00      5.00   125.663    81.683    57.917    -15.00    -20.00    1
    9     0.182      26.947901      38.031849      22.036301      5.00      5.00   116.654    84.782    83.265    -10.00    -20.00    1
   10     0.134      26.890949      38.031891      22.036301      5.00      5.00   183.071    53.224    32.299     -5.00    -20.00    1
   11     0.114      26.834009      38.031898      22.036301      5.00      5.00   263.014    64.258   147.749      0.00    -20.00    0
   12     0.185      26.777050      38.031891      22.036301      5.00      5.00   271.842    75.733   135.392      5.00    -20.00    0
   13     0.248      26.720100      38.031849      22.036301      5.00      5.00   106.491    89.563  -117.417     10.00    -20.00    1
   14     0.240      26.663151      38.031780      22.036301      5.00      5.00   280.153    84.928   124.400     15.00    -20.00    0
   15     0.177      26.606199      38.031689      22.036301      5.00      5.00   273.816    77.792   117.627     20.00    -20.00    0
   16     0.178      26.549250      38.031559      22.036301      5.00      5.00    92.666    88.074  -112.739     25.00    -20.00    1
   17     0.163      26.492300      38.031410      22.036301      5.00      5.00   255.484    72.565   133.212     30.00    -20.00    0
   18     0.175      26.435350      38.031231      22.036301      5.00      5.00    60.436    42.973   103.929     35.00    -20.00    1
   19     0.214      26.378401      38.031029      22.036301      5.00      5.00   191.197    64.444    57.337     40.00    -20.00    1
   20     0.185      26.321449      38.030788      22.036301      5.00      5.00   207.155    70.314    76.853     45.00    -20.00    1
   21     0.085      26.264500      38.030529      22.036301      5.00      5.00   242.765    77.064   133.798     50.00    -20.00    0
   22     0.196      27.403231      37.994560      19.027229      5.00      5.00   193.149    13.120   103.592    -50.00    -15.00    1
   23     0.273      27.346300      37.994820      19.027229      5.00      5.00     1.756    79.148    94.048    -45.00    -15.00    1
   24     0.300      27.289379      37.995049      19.027229      5.00      5.00   142.458    19.274    66.881    -40.00    -15.00    1
   25     0.285      27.232460      37.995258      19.027229      5.00      5.00   304.974    56.503   116.973    -35.00    -15.00    0
   26     0.299      27.175541      37.995441      19.027229      5.00      5.00   292.350    43.653   102.398    -30.00    -15.00    0
   27     0.233      27.118610      37.995590      19.027229      5.00      5.00   274.476    50.310    58.043    -25.00    -15.00    0
