      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      25.972710       0.032747       0.032747        16      15.0      16.0       0.332179
    -50.00    -15.00      21.979530       0.038829       0.038829        16      15.0      16.0       0.332179
    -50.00    -10.00      17.986361       0.039619       0.039619        16      15.0      16.0       0.332179
    -50.00     -5.00      13.993180       0.034144       0.034144        16      15.0      16.0       0.332179
    -50.00      0.00      10.000000       0.039414       0.039414        16      15.0      16.0       0.332179
    -50.00      5.00       6.006820       0.057243       0.057243        16      15.0      16.0       0.332179
    -50.00     10.00       2.013640       0.063238       0.063238        16      15.0      16.0       0.332179
    -45.00    -20.00      25.972710       0.041687       0.041687        16      15.0      16.0       0.332179
    -45.00    -15.00      21.979530       0.052834       0.052834        16      15.0      16.0       0.332179
    -45.00    -10.00      17.986361       0.048993       0.048993        16      15.0      16.0       0.332179
    -45.00     -5.00      13.993180       0.045192       0.045192        16      15.0      16.0       0.332179
    -45.00      0.00      10.000000       0.065436       0.065436        16      15.0      16.0       0.332179
    -45.00      5.00       6.006820       0.105362       0.105362        16      15.0      16.0       0.332179
    -45.00     10.00       2.013640       0.117898       0.117898        16      15.0      16.0       0.332179
    -40.00    -20.00      25.972710       0.040833       0.040833        16      15.0      16.0       0.332179
    -40.00    -15.00      21.979530       0.053967       0.053967        16      15.0      16.0       0.332179
    -40.00    -10.00      17.986361       0.051024       0.051024        16      15.0      16.0       0.332179
    -40.00     -5.00      13.993180       0.048115       0.048115        16      15.0      16.0       0.332179
    -40.00      0.00      10.000000       0.090001       0.090001        16      15.0      16.0       0.332179
    -40.00      5.00       6.006820       0.140946       0.140946        16      15.0      16.0       0.332179
    -40.00     10.00       2.013640       0.159139       0.159139        16      15.0      16.0       0.332179
    -35.00    -20.00      25.972710       0.037331       0.037331        16      15.0      16.0       0.332179
    -35.00    -15.00      21.979530       0.050340       0.050340        16      15.0      16.0       0.332179
    -35.00    -10.00      17.986361       0.047255       0.047255        16      15.0      16.0       0.332179
    -35.00     -5.00      13.993180       0.051451       0.051451        16      15.0      16.0       0.332179
    -35.00      0.00      10.000000       0.110459       0.110459        16      15.0      16.0       0.332179
    -35.00      5.00       6.006820       0.160180       0.160180        16      15.0      16.0       0.332179
    -35.00     10.00       2.013640       0.179967       0.179967        16      15.0      16.0       0.332179
    -30.00    -20.00      25.972710       0.036339       0.036339        16      15.0      16.0       0.332179
    -30.00    -15.00      21.979530       0.043515       0.043515        16      15.0      16.0       0.332179
    -30.00    -10.00      17.986361       0.039578       0.039578        16      15.0      16.0       0.332179
    -30.00     -5.00      13.993180       0.066240       0.066240        16      15.0      16.0       0.332179
    -30.00      0.00      10.000000       0.116962       0.116962        16      15.0      16.0       0.332179
    -30.00      5.00       6.006820       0.153338       0.153338        16      15.0      16.0       0.332179
    -30.00     10.00       2.013640       0.172487       0.172487        16      15.0      16.0       0.332179
