   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     15.00     12.00     0.244      26.254890      37.825809      25.972710      5.00      5.00    67.982    67.957  -160.676    -50.00    -20.00
    2     13.00     12.00     0.257      26.311411      37.821369      25.972710      5.00      5.00   177.865    62.295    60.791    -45.00    -20.00
    3     12.00     12.00     0.343      26.367910      37.816898      25.972710      5.00      5.00    65.701    38.356   108.737    -40.00    -20.00
    4     11.00     11.00     0.433      26.424410      37.812401      25.972710      5.00      5.00    66.467    45.419    81.406    -35.00    -20.00
    5      9.00     12.00     0.424      26.480909      37.807869      25.972710      5.00      5.00    53.336    48.741    61.972    -30.00    -20.00
    6      8.00     12.00     0.382      26.537390      37.803322      25.972710      5.00      5.00    51.111    50.294    56.381    -25.00    -20.00
    7      7.00     12.00     0.288      26.593870      37.798740      25.972710      5.00      5.00    60.004    48.873    63.548    -20.00    -20.00
    8      6.00     12.00     0.260      26.650351      37.794128      25.972710      5.00      5.00    76.558    39.250    67.030    -15.00    -20.00
    9      5.00     11.00     0.288      26.706810      37.789501      25.972710      5.00      5.00    70.917    44.247    48.273    -10.00    -20.00
   10      5.00     11.00     0.262      26.763269      37.784840      25.972710      5.00      5.00    71.695    41.532    50.709     -5.00    -20.00
   11      5.00     10.00     0.280      26.819719      37.780151      25.972710      5.00      5.00    80.844    37.008    63.837      0.00    -20.00
   12      5.00     10.00     0.289      26.876160      37.775440      25.972710      5.00      5.00    94.268    31.227    66.856      5.00    -20.00
   13      5.00     12.00     0.323      26.932600      37.770691      25.972710      5.00      5.00   118.991    25.900    72.975     10.00    -20.00
   14      6.00     12.00     0.259      26.989031      37.765919      25.972710      5.00      5.00   168.616    24.592    98.859     15.00    -20.00
   15      7.00     12.00     0.329      27.045450      37.761120      25.972710      5.00      5.00    57.610    54.970    76.435     20.00    -20.00
   16      8.00     13.00     0.361      27.101860      37.756302      25.972710      5.00      5.00    73.269    57.163    88.874     25.00    -20.00
   17      9.00     11.00     0.285      27.158270      37.751450      25.972710      5.00      5.00    71.044    58.428    79.605     30.00    -20.00
   18     11.00      9.00     0.264      27.214670      37.746571      25.972710      5.00      5.00    81.327    53.244    87.913     35.00    -20.00
   19     12.00     12.00     0.291      27.271061      37.741669      25.972710      5.00      5.00   113.628    19.106    54.436     40.00    -20.00
   20     13.00     12.00     0.306      27.327450      37.736729      25.972710      5.00      5.00   183.588    10.172   104.954     45.00    -20.00
   21     15.00     12.00     0.278      27.383829      37.731781      25.972710      5.00      5.00   159.159    11.646    73.415     50.00    -20.00
   22     15.00     11.00     0.268      26.258261      37.852791      21.979530      5.00      5.00    64.685    80.346  -165.886    -50.00    -15.00
   23     12.00     12.00     0.384      26.314791      37.848351      21.979530      5.00      5.00   189.269    63.896    74.841    -45.00    -15.00
   24     12.00     11.00     0.431      26.371321      37.843868      21.979530      5.00      5.00   221.150    59.689    86.611    -40.00    -15.00
   25     10.00     11.00     0.467      26.427839      37.839371      21.979530      5.00      5.00   254.876    49.089   106.260    -35.00    -15.00
   26      8.00     13.00     0.476      26.484350      37.834850      21.979530      5.00      5.00   271.784    55.208   130.826    -30.00    -15.00
   27      8.00     12.00     0.402      26.540859      37.830292      21.979530      5.00      5.00   277.584    60.991   135.051    -25.00    -15.00
   28      6.00     11.00     0.229      26.597361      37.825710      21.979530      5.00      5.00   286.658    65.766   138.898    -20.00    -15.00
   29      5.00     12.00     0.298      26.653851      37.821098      21.979530      5.00      5.00    56.998    28.499    29.148    -15.00    -15.00
   30      4.00     12.00     0.329      26.710340      37.816471      21.979530      5.00      5.00   303.462    80.335   120.212    -10.00    -15.00
   31      4.00     12.00     0.294      26.766821      37.811798      21.979530      5.00      5.00   302.238    79.498   122.709     -5.00    -15.00
   32      4.00     12.00     0.258      26.823290      37.807110      21.979530      5.00      5.00    78.865    27.622    56.616      0.00    -15.00
   33      4.00     12.00     0.251      26.879749      37.802399      21.979530      5.00      5.00   136.383    20.529    85.570      5.00    -15.00
   34      4.00     12.00     0.340      26.936199      37.797649      21.979530      5.00      5.00   175.575    20.869   104.925     10.00    -15.00
   35      5.00      9.00     0.306      26.992649      37.792881      21.979530      5.00      5.00   209.599    27.616   136.490     15.00    -15.00
   36      6.00     12.00     0.329      27.049101      37.788078      21.979530      5.00      5.00   246.420    36.818   111.248     20.00    -15.00
   37      7.00     11.00     0.447      27.105530      37.783249      21.979530      5.00      5.00    86.268    58.420   106.981     25.00    -15.00
   38      8.00     13.00     0.362      27.161961      37.778400      21.979530      5.00      5.00    72.104    62.328    90.542     30.00    -15.00
   39     10.00     12.00     0.223      27.218380      37.773521      21.979530      5.00      5.00    66.155    56.696    92.364     35.00    -15.00
   40     11.00     13.00     0.359      27.274790      37.768620      21.979530      5.00      5.00   169.665     9.164    84.466     40.00    -15.00
   41     12.00     13.00     0.497      27.331200      37.763680      21.979530      5.00      5.00   182.446     5.058   105.323     45.00    -15.00
   42     14.00     12.00     0.400      27.387600      37.758720      21.979530      5.00      5.00   192.308     7.800   101.474     50.00    -15.00
   43     14.00     12.00     0.229      26.261620      37.879768      17.986361      5.00      5.00    65.961    60.137  -172.450    -50.00    -10.00
   44     12.00     13.00     0.399      26.318171      37.875320      17.986361      5.00      5.00    54.745    28.163   144.056    -45.00    -10.00
   45     11.00     12.00     0.356      26.374720      37.870850      17.986361      5.00      5.00   359.056    23.057    52.323    -40.00    -10.00
   46      9.00     13.00     0.295      26.431259      37.866348      17.986361      5.00      5.00   249.441    77.738   145.961    -35.00    -10.00
   47      9.00     11.00     0.399      26.487801      37.861820      17.986361      5.00      5.00   128.552    75.564   -74.897    -30.00    -10.00
   48      8.00      9.00     0.463      26.544319      37.857262      17.986361      5.00      5.00   131.163    69.337   -71.521    -25.00    -10.00
   49      6.00     10.00     0.508      26.600840      37.852680      17.986361      5.00      5.00   123.345    70.863   -82.012    -20.00    -10.00
   50      5.00     10.00     0.503      26.657360      37.848068      17.986361      5.00      5.00   116.103    75.447   -87.841    -15.00    -10.00
   51      3.00     11.00     0.481      26.713860      37.843430      17.986361      5.00      5.00   113.572    71.910   -98.668    -10.00    -10.00
   52      2.00     12.00     0.566      26.770361      37.838772      17.986361      5.00      5.00   107.167    65.204   -95.086     -5.00    -10.00
   53      2.00     12.00     0.491      26.826860      37.834080      17.986361      5.00      5.00   105.108    60.502   -84.693      0.00    -10.00
   54      3.00     11.00     0.465      26.883341      37.829361      17.986361      5.00      5.00   114.771    59.691   -58.627      5.00    -10.00
   55      3.00      9.00     0.516      26.939810      37.824612      17.986361      5.00      5.00   123.901    63.334   -40.768     10.00    -10.00
   56      4.00      6.00     0.365      26.996281      37.819839      17.986361      5.00      5.00   134.173    73.364   -35.761     15.00    -10.00
   57      5.00      8.00     0.159      27.052750      37.815041      17.986361      5.00      5.00   248.328    63.745  -168.207     20.00    -10.00
   58      7.00      9.00     0.212      27.109200      37.810211      17.986361      5.00      5.00    90.553    67.034   138.201     25.00    -10.00
   59      8.00     11.00     0.182      27.165649      37.805351      17.986361      5.00      5.00   257.073    82.007  -117.665     30.00    -10.00
   60      9.00     12.00     0.175      27.222090      37.800468      17.986361      5.00      5.00   254.478    72.087  -137.095     35.00    -10.00
   61     11.00     11.00     0.358      27.278530      37.795559      17.986361      5.00      5.00   253.790    33.880  -161.099     40.00    -10.00
   62     13.00     12.00     0.468      27.334949      37.790630      17.986361      5.00      5.00   266.574     9.465  -168.732     45.00    -10.00
   63     14.00     12.00     0.378      27.391371      37.785671      17.986361      5.00      5.00   254.833    11.836   175.634     50.00    -10.00
   64     14.00     12.00     0.179      26.264990      37.906750      13.993180      5.00      5.00    73.286    63.890  -161.761    -50.00     -5.00
   65     13.00     11.00     0.390      26.321560      37.902302      13.993180      5.00      5.00    65.040    62.212  -154.152    -45.00     -5.00
   66     11.00     12.00     0.663      26.378130      37.897831      13.993180      5.00      5.00    65.545    65.994  -131.388    -40.00     -5.00
   67      9.00     12.00     0.650      26.434690      37.893318      13.993180      5.00      5.00    88.809    57.307  -102.521    -35.00     -5.00
   68      8.00     11.00     0.918      26.491249      37.888790      13.993180      5.00      5.00   112.165    59.071   -72.356    -30.00     -5.00
   69      7.00     10.00     1.106      26.547791      37.884232      13.993180      5.00      5.00   112.619    58.895   -72.167    -25.00     -5.00
   70      6.00     10.00     1.109      26.604330      37.879650      13.993180      5.00      5.00   109.847    61.941   -77.060    -20.00     -5.00
   71      5.00     10.00     1.050      26.660870      37.875038      13.993180      5.00      5.00   106.942    62.892   -83.378    -15.00     -5.00
   72      2.00     11.00     1.133      26.717390      37.870399      13.993180      5.00      5.00   105.329    57.949   -90.298    -10.00     -5.00
   73      1.00     12.00     1.412      26.773911      37.865730      13.993180      5.00      5.00   101.467    54.511   -94.227     -5.00     -5.00
   74      1.00     11.00     1.413      26.830429      37.861038      13.993180      5.00      5.00    99.118    52.438   -92.421      0.00     -5.00
   75      1.00     11.00     1.286      26.886930      37.856319      13.993180      5.00      5.00   101.490    50.632   -82.458      5.00     -5.00
   76      2.00      8.00     0.996      26.943430      37.851570      13.993180      5.00      5.00   104.341    47.202   -72.637     10.00     -5.00
   77      4.00      9.00     0.692      26.999920      37.846790      13.993180      5.00      5.00   110.182    46.738   -61.105     15.00     -5.00
