     50.93      1.00     25.97    1      7.20
     50.93      1.00     21.98    2      7.20
     41.30      1.00     17.99    3      6.60
     41.30      1.00     13.99    4      6.60
     33.32      1.00     10.00    5      6.00
     33.32      1.00      6.01    6      6.00
      0.00      0.00      2.01    7      1.50
