      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      25.972710       0.048076       0.048076        24      23.0      24.0       0.332179
    -50.00    -15.00      21.979530       0.046941       0.046941        24      23.0      24.0       0.332179
    -50.00    -10.00      17.986361       0.034364       0.034364        24      23.0      24.0       0.332179
    -50.00     -5.00      13.993180       0.028118       0.028118        24      23.0      24.0       0.332179
    -50.00      0.00      10.000000       0.044670       0.044670        24      23.0      24.0       0.332179
    -50.00      5.00       6.006820       0.039635       0.039635        24      23.0      24.0       0.332179
    -50.00     10.00       2.013640       0.020156       0.020156        24      23.0      24.0       0.332179
    -45.00    -20.00      25.972710       0.038275       0.038275        24      23.0      24.0       0.332179
    -45.00    -15.00      21.979530       0.020571       0.020571        24      23.0      24.0       0.332179
    -45.00    -10.00      17.986361       0.020883       0.020883        24      23.0      24.0       0.332179
    -45.00     -5.00      13.993180       0.025479       0.025479        24      23.0      24.0       0.332179
    -45.00      0.00      10.000000       0.043380       0.043380        24      23.0      24.0       0.332179
    -45.00      5.00       6.006820       0.025886       0.025886        24      23.0      24.0       0.332179
    -45.00     10.00       2.013640       0.007574       0.007574        24      23.0      24.0       0.332179
    -40.00    -20.00      25.972710       0.000699       0.000699        24      23.0      24.0       0.332179
    -40.00    -15.00      21.979530       0.000419       0.000419        24      23.0      24.0       0.332179
    -40.00    -10.00      17.986361       0.000000       0.000000        24      23.0      24.0       0.332179
    -40.00     -5.00      13.993180       0.000000       0.000000        24      23.0      24.0       0.332179
    -40.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.332179
    -40.00      5.00       6.006820       0.000000       0.000000        24      23.0      24.0       0.332179
    -40.00     10.00       2.013640       0.000000       0.000000        24      23.0      24.0       0.332179
    -35.00    -20.00      25.972710       0.000000       0.000000        24      23.0      24.0       0.332179
    -35.00    -15.00      21.979530       0.000000       0.000000        24      23.0      24.0       0.332179
    -35.00    -10.00      17.986361       0.000000       0.000000        24      23.0      24.0       0.332179
