      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.014223       0.014223        16      15.0      16.0       0.208598
    -50.00    -15.00      17.272141       0.018728       0.018728        16      15.0      16.0       0.208598
    -50.00    -10.00      14.848100       0.030395       0.030395        16      15.0      16.0       0.208598
    -50.00     -5.00      12.424050       0.043857       0.043857        16      15.0      16.0       0.208598
    -50.00      0.00      10.000000       0.054363       0.054363        16      15.0      16.0       0.208598
    -50.00      5.00       7.575950       0.066142       0.066142        16      15.0      16.0       0.208598
    -40.00    -20.00      19.696190       0.016560       0.016560        16      15.0      16.0       0.208598
    -40.00    -15.00      17.272141       0.016806       0.016806        16      15.0      16.0       0.208598
    -40.00    -10.00      14.848100       0.034299       0.034299        16      15.0      16.0       0.208598
    -40.00     -5.00      12.424050       0.061448       0.061448        16      15.0      16.0       0.208598
    -40.00      0.00      10.000000       0.093356       0.093356        16      15.0      16.0       0.208598
    -40.00      5.00       7.575950       0.115275       0.115275        16      15.0      16.0       0.208598
    -30.00    -20.00      19.696190       0.016851       0.016851        16      15.0      16.0       0.208598
    -30.00    -15.00      17.272141       0.013576       0.013576        16      15.0      16.0       0.208598
    -30.00    -10.00      14.848100       0.022402       0.022402        16      15.0      16.0       0.208598
    -30.00     -5.00      12.424050       0.057096       0.057096        16      15.0      16.0       0.208598
    -30.00      0.00      10.000000       0.089066       0.089066        16      15.0      16.0       0.208598
    -30.00      5.00       7.575950       0.110129       0.110129        16      15.0      16.0       0.208598
    -20.00    -20.00      19.696190       0.027480       0.027480        16      15.0      16.0       0.208598
    -20.00    -15.00      17.272141       0.026824       0.026824        16      15.0      16.0       0.208598
    -20.00    -10.00      14.848100       0.014715       0.014715        16      15.0      16.0       0.208598
    -20.00     -5.00      12.424050       0.000389       0.000389        16      15.0      16.0       0.208598
    -20.00      0.00      10.000000       0.000254       0.000254        16      15.0      16.0       0.208598
    -20.00      5.00       7.575950       0.000460       0.000460        16      15.0      16.0       0.208598
    -10.00    -20.00      19.696190       0.026255       0.026255        16      15.0      16.0       0.208598
    -10.00    -15.00      17.272141       0.000218       0.000218        16      15.0      16.0       0.208598
    -10.00    -10.00      14.848100       0.000000       0.000000        16      15.0      16.0       0.208598
    -10.00     -5.00      12.424050       0.000000       0.000000        16      15.0      16.0       0.208598
    -10.00      0.00      10.000000       0.000000       0.000000        16      15.0      16.0       0.208598
    -10.00      5.00       7.575950       0.000000       0.000000        16      15.0      16.0       0.208598
      0.00    -20.00      19.696190       0.030200       0.030200        16      15.0      16.0       0.208598
      0.00    -15.00      17.272141       0.000385       0.000385        16      15.0      16.0       0.208598
      0.00    -10.00      14.848100       0.000000       0.000000        16      15.0      16.0       0.208598
      0.00     -5.00      12.424050       0.000000       0.000000        16      15.0      16.0       0.208598
      0.00      0.00      10.000000       0.000000       0.000000        16      15.0      16.0       0.208598
      0.00      5.00       7.575950       0.000000       0.000000        16      15.0      16.0       0.208598
     10.00    -20.00      19.696190       0.023638       0.023638        16      15.0      16.0       0.208598
     10.00    -15.00      17.272141       0.000223       0.000223        16      15.0      16.0       0.208598
     10.00    -10.00      14.848100       0.000000       0.000000        16      15.0      16.0       0.208598
     10.00     -5.00      12.424050       0.000000       0.000000        16      15.0      16.0       0.208598
     10.00      0.00      10.000000       0.000000       0.000000        16      15.0      16.0       0.208598
     10.00      5.00       7.575950       0.000000       0.000000        16      15.0      16.0       0.208598
     20.00    -20.00      19.696190       0.013461       0.013461        16      15.0      16.0       0.208598
     20.00    -15.00      17.272141       0.026416       0.026416        16      15.0      16.0       0.208598
     20.00    -10.00      14.848100       0.009815       0.009815        16      15.0      16.0       0.208598
     20.00     -5.00      12.424050       0.000297       0.000297        16      15.0      16.0       0.208598
     20.00      0.00      10.000000       0.000551       0.000551        16      15.0      16.0       0.208598
     20.00      5.00       7.575950       0.000617       0.000617        16      15.0      16.0       0.208598
     30.00    -20.00      19.696190       0.016909       0.016909        16      15.0      16.0       0.208598
     30.00    -15.00      17.272141       0.021830       0.021830        16      15.0      16.0       0.208598
     30.00    -10.00      14.848100       0.034484       0.034484        16      15.0      16.0       0.208598
     30.00     -5.00      12.424050       0.053870       0.053870        16      15.0      16.0       0.208598
     30.00      0.00      10.000000       0.063046       0.063046        16      15.0      16.0       0.208598
     30.00      5.00       7.575950       0.062784       0.062784        16      15.0      16.0       0.208598
     40.00    -20.00      19.696190       0.023572       0.023572        16      15.0      16.0       0.208598
     40.00    -15.00      17.272141       0.031043       0.031043        16      15.0      16.0       0.208598
     40.00    -10.00      14.848100       0.036180       0.036180        16      15.0      16.0       0.208598
     40.00     -5.00      12.424050       0.042842       0.042842        16      15.0      16.0       0.208598
     40.00      0.00      10.000000       0.047924       0.047924        16      15.0      16.0       0.208598
     40.00      5.00       7.575950       0.044421       0.044421        16      15.0      16.0       0.208598
     50.00    -20.00      19.696190       0.025648       0.025648        16      15.0      16.0       0.208598
     50.00    -15.00      17.272141       0.032579       0.032579        16      15.0      16.0       0.208598
     50.00    -10.00      14.848100       0.028877       0.028877        16      15.0      16.0       0.208598
     50.00     -5.00      12.424050       0.029713       0.029713        16      15.0      16.0       0.208598
     50.00      0.00      10.000000       0.032877       0.032877        16      15.0      16.0       0.208598
     50.00      5.00       7.575950       0.041977       0.041977        16      15.0      16.0       0.208598
