   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1      27.420940      37.996189      19.696190     0.122   149.405    67.446   -41.139   257.929    52.586  -151.124    -50.00    -20.00    0
    2      27.307779      38.006111      19.696190     0.100    51.348    33.424    83.205   239.473    56.841    94.465    -40.00    -20.00    0
    3      27.194580      38.015930      19.696190     0.158    74.927    68.424   -91.303   258.467    21.614   -86.708    -30.00    -20.00    0
    4      27.081360      38.025639      19.696190     0.155   306.602    83.611   -30.335    40.327    59.873  -172.608    -20.00    -20.00    0
    5      26.968109      38.035240      19.696190     0.172   150.517    54.695    24.276    45.908    70.396   142.157    -10.00    -20.00    1
    6      26.854820      38.044731      19.696190     0.143   205.387    17.677    88.722    26.728    72.327    90.407      0.00    -20.00    1
    7      26.741529      38.054111      19.696190     0.161   358.159    72.177    37.472   254.955    54.607   157.948     10.00    -20.00    0
    8      26.628189      38.063389      19.696190     0.212    27.508    35.807    18.406   282.405    79.354   124.391     20.00    -20.00    0
    9      26.514820      38.072552      19.696190     0.173   132.568    20.151    76.358   327.064    70.441    94.947     30.00    -20.00    1
   10      26.401421      38.081612      19.696190     0.221    71.465    48.463    73.133   276.036    44.248   108.135     40.00    -20.00    0
   11      26.288000      38.090561      19.696190     0.181    35.624    56.335    64.892   255.833    41.092   122.501     50.00    -20.00    0
   12      27.415421      37.957031      17.272141     0.199   133.659    61.336   -46.972   250.857    50.101  -141.300    -50.00    -15.00    0
   13      27.302320      37.966949      17.272141     0.126   336.117    66.769    -8.282    69.403    82.394  -156.550    -40.00    -15.00    1
   14      27.189190      37.976761      17.272141     0.347    68.330    65.748   -98.401   268.105    25.582   -72.032    -30.00    -15.00    0
   15      27.076031      37.986469      17.272141     0.329   306.303    65.600   -24.167    46.804    68.110  -153.564    -20.00    -15.00    0
   16      26.962830      37.996059      17.272141     0.354   139.392    49.723   -17.903   241.189    76.436  -138.315    -10.00    -15.00    0
   17      26.849609      38.005550      17.272141     0.298   156.317    73.723   -31.931   256.225    59.489  -161.015      0.00    -15.00    0
   18      26.736370      38.014931      17.272141     0.359   270.205    79.601   134.149    10.738    45.111    14.760     10.00    -15.00    0
   19      26.623091      38.024200      17.272141     0.336   280.924    84.925   122.191    18.923    32.546     9.464     20.00    -15.00    0
   20      26.509781      38.033360      17.272141     0.334   124.704    19.179    73.719   321.887    71.618    95.569     30.00    -15.00    1
   21      26.396441      38.042412      17.272141     0.397    89.985    29.771    55.082   308.791    65.974   108.130     40.00    -15.00    0
   22      26.283079      38.051350      17.272141     0.337    36.990    60.773    76.679   242.860    31.874   112.382     50.00    -15.00    0
   23      27.409920      37.917870      14.848100     0.354   122.604    63.642   -62.642   253.235    37.267  -132.845    -50.00    -10.00    0
   24      27.296869      37.927792      14.848100     0.300    80.279    54.901  -115.444   299.885    42.371   -58.562    -40.00    -10.00    0
   25      27.183800      37.937599      14.848100     0.416    72.767    62.297   -92.867   258.915    27.840   -84.559    -30.00    -10.00    0
   26      27.070700      37.947300      14.848100     0.440   311.247    89.651     0.882   221.242    89.118   179.651    -20.00    -10.00    0
   27      26.957560      37.956890      14.848100     0.599   123.357    44.965   -43.539   247.272    60.870  -125.905    -10.00    -10.00    0
   28      26.844400      37.966370      14.848100     0.562   135.701    55.845   -50.136   259.614    50.567  -133.373      0.00    -10.00    0
   29      26.731220      37.975739      14.848100     0.462   344.163    51.666   -23.132    89.004    72.052  -139.310     10.00    -10.00    1
   30      26.618000      37.985008      14.848100     0.470   105.254    82.891  -113.739   359.537    24.722   -17.213     20.00    -10.00    1
   31      26.504749      37.994160      14.848100     0.454   167.930    10.075   109.217   328.435    80.492    86.653     30.00    -10.00    1
   32      26.391470      38.003208      14.848100     0.522   159.435    11.296    90.277   339.153    78.704    89.945     40.00    -10.00    1
   33      26.278170      38.012138      14.848100     0.420   241.386    26.162   117.932    30.816    67.074    77.042     50.00    -10.00    0
   34      27.404421      37.878712      12.424050     0.477   125.828    66.240   -59.128   249.806    38.227  -139.373    -50.00     -5.00    0
   35      27.291430      37.888618      12.424050     0.505   115.725    50.907   -61.285   254.743    47.104  -120.597    -40.00     -5.00    0
   36      27.178419      37.898430      12.424050     0.548    90.701    52.981   -75.978   248.172    39.228  -107.813    -30.00     -5.00    0
   37      27.065380      37.908119      12.424050     0.705   112.067    55.014   -49.024   235.498    51.790  -133.136    -20.00     -5.00    0
   38      26.952299      37.917709      12.424050     0.986   115.906    48.268   -53.890   248.286    52.923  -123.453    -10.00     -5.00    0
   39      26.839199      37.927181      12.424050     0.996   119.309    49.486   -66.800   265.893    45.672  -114.751      0.00     -5.00    0
   40      26.726070      37.936550      12.424050     0.905    92.702    55.011  -118.332   315.938    43.852   -55.861     10.00     -5.00    0
   41      26.612909      37.945808      12.424050     0.625   108.985    72.529  -108.644   337.321    25.336   -44.554     20.00     -5.00    1
   42      26.499720      37.954960      12.424050     0.589   131.823    83.825   -71.302   239.456    19.657  -161.350     30.00     -5.00    0
   43      26.386499      37.964001      12.424050     0.463   214.117    14.980   144.013   339.168    81.264    77.784     40.00     -5.00    1
   44      26.273260      37.972939      12.424050     0.404   245.969    24.428   138.481    14.840    74.090    71.218     50.00     -5.00    0
   45      27.398920      37.839561      10.000000     0.559   126.118    68.676   -57.539   245.872    38.187  -143.972    -50.00      0.00    0
   46      27.285999      37.849461      10.000000     0.818   119.177    52.873   -51.074   245.949    51.665  -129.692    -40.00      0.00    0
   47      27.173040      37.859261      10.000000     0.932   104.632    53.008   -56.096   236.469    48.478  -126.518    -30.00      0.00    0
   48      27.060061      37.868950      10.000000     1.067   107.399    55.085   -55.974   237.687    47.187  -128.719    -20.00      0.00    0
   49      26.947041      37.878529      10.000000     1.307   111.734    47.593   -60.205   251.402    50.151  -118.548    -10.00      0.00    0
   50      26.834000      37.888000      10.000000     1.387   115.950    49.932   -69.927   266.368    44.045  -112.198      0.00      0.00    0
   51      26.720930      37.897362      10.000000     1.247    94.902    54.824  -108.848   305.551    39.326   -65.375     10.00      0.00    0
   52      26.607830      37.906620      10.000000     0.913   110.164    66.573   -99.001   311.887    25.006   -70.147     20.00      0.00    0
   53      26.494699      37.915760      10.000000     0.803   116.186    70.594   -71.663   251.258    26.454  -131.766     30.00      0.00    0
   54      26.381540      37.924801      10.000000     0.405   139.190    78.358   -48.640   242.101    42.681  -162.682     40.00      0.00    0
   55      26.268360      37.933731      10.000000     0.385   345.321    89.095    55.720   253.993    34.290   178.393     50.00      0.00    0
   56      27.393431      37.800400       7.575950     0.573   125.898    70.623   -56.950   242.917    37.747  -147.182    -50.00      5.00    0
   57      27.280569      37.810299       7.575950     1.046   118.840    53.259   -49.284   243.642    52.600  -131.148    -40.00      5.00    0
   58      27.167669      37.820091       7.575950     1.230   103.678    52.187   -58.515   238.708    47.646  -123.940    -30.00      5.00    0
   59      27.054741      37.829769       7.575950     1.370   102.580    54.985   -63.749   241.901    42.732  -122.265    -20.00      5.00    0
   60      26.941790      37.839352       7.575950     1.533   108.766    47.249   -64.934   254.198    48.306  -114.623    -10.00      5.00    0
   61      26.828810      37.848820       7.575950     1.653   115.980    50.720   -68.157   263.641    44.070  -114.461      0.00      5.00    0
   62      26.715790      37.858170       7.575950     1.404    99.523    53.231  -100.961   297.451    38.146   -75.724     10.00      5.00    0
   63      26.602751      37.867420       7.575950     1.164   112.686    64.553   -92.269   297.953    25.541   -85.244     20.00      5.00    0
   64      26.489679      37.876572       7.575950     1.033   109.948    63.785   -74.754   258.273    30.052  -118.105     30.00      5.00    0
   65      26.376591      37.885601       7.575950     0.551   126.398    61.337   -55.698   251.510    43.543  -135.872     40.00      5.00    0
   66      26.263460      37.894520       7.575950     0.468   152.565    81.079   -52.337   253.926    38.552  -165.592     50.00      5.00    0
