      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.011827       0.011827        22      21.0      22.0       0.208598
    -50.00    -15.00      17.272141       0.015506       0.015506        22      21.0      22.0       0.208598
    -50.00    -10.00      14.848100       0.027535       0.027535        22      21.0      22.0       0.208598
    -50.00     -5.00      12.424050       0.049508       0.049508        22      21.0      22.0       0.208598
    -50.00      0.00      10.000000       0.066215       0.066215        22      21.0      22.0       0.208598
    -50.00      5.00       7.575950       0.072533       0.072533        22      21.0      22.0       0.208598
    -40.00    -20.00      19.696190       0.031941       0.031941        22      21.0      22.0       0.208598
    -40.00    -15.00      17.272141       0.003020       0.003020        22      21.0      22.0       0.208598
    -40.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
    -40.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
    -40.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
    -40.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
    -30.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
    -20.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
    -10.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
      0.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
     10.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
     20.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00    -20.00      19.696190       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00    -15.00      17.272141       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
     30.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
     40.00    -20.00      19.696190       0.037022       0.037022        22      21.0      22.0       0.208598
     40.00    -15.00      17.272141       0.003860       0.003860        22      21.0      22.0       0.208598
     40.00    -10.00      14.848100       0.000000       0.000000        22      21.0      22.0       0.208598
     40.00     -5.00      12.424050       0.000000       0.000000        22      21.0      22.0       0.208598
     40.00      0.00      10.000000       0.000000       0.000000        22      21.0      22.0       0.208598
     40.00      5.00       7.575950       0.000000       0.000000        22      21.0      22.0       0.208598
     50.00    -20.00      19.696190       0.033054       0.033054        22      21.0      22.0       0.208598
     50.00    -15.00      17.272141       0.057572       0.057572        22      21.0      22.0       0.208598
     50.00    -10.00      14.848100       0.058705       0.058705        22      21.0      22.0       0.208598
     50.00     -5.00      12.424050       0.057226       0.057226        22      21.0      22.0       0.208598
     50.00      0.00      10.000000       0.078829       0.078829        22      21.0      22.0       0.208598
     50.00      5.00       7.575950       0.099092       0.099092        22      21.0      22.0       0.208598
