      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.000000       0.000000         9       8.0       9.0       0.208598
    -50.00    -15.00      17.272141       0.000000       0.000000         9       8.0       9.0       0.208598
    -50.00    -10.00      14.848100       0.000000       0.000000         9       8.0       9.0       0.208598
    -50.00     -5.00      12.424050       0.000000       0.000000         9       8.0       9.0       0.208598
    -50.00      0.00      10.000000       0.000000       0.000000         9       8.0       9.0       0.208598
    -50.00      5.00       7.575950       0.000000       0.000000         9       8.0       9.0       0.208598
    -40.00    -20.00      19.696190       0.000000       0.000000         9       8.0       9.0       0.208598
    -40.00    -15.00      17.272141       0.001816       0.001816         9       8.0       9.0       0.208598
    -40.00    -10.00      14.848100       0.021061       0.021061         9       8.0       9.0       0.208598
    -40.00     -5.00      12.424050       0.026001       0.026001         9       8.0       9.0       0.208598
    -40.00      0.00      10.000000       0.032050       0.032050         9       8.0       9.0       0.208598
    -40.00      5.00       7.575950       0.065892       0.065892         9       8.0       9.0       0.208598
    -30.00    -20.00      19.696190       0.061262       0.061262         9       8.0       9.0       0.208598
    -30.00    -15.00      17.272141       0.077949       0.077949         9       8.0       9.0       0.208598
    -30.00    -10.00      14.848100       0.063445       0.063445         9       8.0       9.0       0.208598
    -30.00     -5.00      12.424050       0.047765       0.047765         9       8.0       9.0       0.208598
    -30.00      0.00      10.000000       0.074541       0.074541         9       8.0       9.0       0.208598
    -30.00      5.00       7.575950       0.117938       0.117938         9       8.0       9.0       0.208598
    -20.00    -20.00      19.696190       0.034811       0.034811         9       8.0       9.0       0.208598
    -20.00    -15.00      17.272141       0.050462       0.050462         9       8.0       9.0       0.208598
    -20.00    -10.00      14.848100       0.051984       0.051984         9       8.0       9.0       0.208598
    -20.00     -5.00      12.424050       0.076426       0.076426         9       8.0       9.0       0.208598
    -20.00      0.00      10.000000       0.112549       0.112549         9       8.0       9.0       0.208598
    -20.00      5.00       7.575950       0.139450       0.139450         9       8.0       9.0       0.208598
    -10.00    -20.00      19.696190       0.047323       0.047323         9       8.0       9.0       0.208598
    -10.00    -15.00      17.272141       0.050229       0.050229         9       8.0       9.0       0.208598
    -10.00    -10.00      14.848100       0.054893       0.054893         9       8.0       9.0       0.208598
    -10.00     -5.00      12.424050       0.089712       0.089712         9       8.0       9.0       0.208598
    -10.00      0.00      10.000000       0.128749       0.128749         9       8.0       9.0       0.208598
    -10.00      5.00       7.575950       0.159357       0.159357         9       8.0       9.0       0.208598
      0.00    -20.00      19.696190       0.029760       0.029760         9       8.0       9.0       0.208598
      0.00    -15.00      17.272141       0.027147       0.027147         9       8.0       9.0       0.208598
      0.00    -10.00      14.848100       0.042599       0.042599         9       8.0       9.0       0.208598
      0.00     -5.00      12.424050       0.097391       0.097391         9       8.0       9.0       0.208598
      0.00      0.00      10.000000       0.150244       0.150244         9       8.0       9.0       0.208598
      0.00      5.00       7.575950       0.179417       0.179417         9       8.0       9.0       0.208598
     10.00    -20.00      19.696190       0.015826       0.015826         9       8.0       9.0       0.208598
     10.00    -15.00      17.272141       0.024919       0.024919         9       8.0       9.0       0.208598
     10.00    -10.00      14.848100       0.044280       0.044280         9       8.0       9.0       0.208598
     10.00     -5.00      12.424050       0.103653       0.103653         9       8.0       9.0       0.208598
     10.00      0.00      10.000000       0.158514       0.158514         9       8.0       9.0       0.208598
     10.00      5.00       7.575950       0.183279       0.183279         9       8.0       9.0       0.208598
     20.00    -20.00      19.696190       0.033824       0.033824         9       8.0       9.0       0.208598
     20.00    -15.00      17.272141       0.057498       0.057498         9       8.0       9.0       0.208598
     20.00    -10.00      14.848100       0.075601       0.075601         9       8.0       9.0       0.208598
     20.00     -5.00      12.424050       0.104555       0.104555         9       8.0       9.0       0.208598
     20.00      0.00      10.000000       0.136928       0.136928         9       8.0       9.0       0.208598
     20.00      5.00       7.575950       0.163009       0.163009         9       8.0       9.0       0.208598
     30.00    -20.00      19.696190       0.035332       0.035332         9       8.0       9.0       0.208598
     30.00    -15.00      17.272141       0.059232       0.059232         9       8.0       9.0       0.208598
     30.00    -10.00      14.848100       0.064318       0.064318         9       8.0       9.0       0.208598
     30.00     -5.00      12.424050       0.058549       0.058549         9       8.0       9.0       0.208598
     30.00      0.00      10.000000       0.075073       0.075073         9       8.0       9.0       0.208598
     30.00      5.00       7.575950       0.111909       0.111909         9       8.0       9.0       0.208598
     40.00    -20.00      19.696190       0.000000       0.000000         9       8.0       9.0       0.208598
     40.00    -15.00      17.272141       0.003553       0.003553         9       8.0       9.0       0.208598
     40.00    -10.00      14.848100       0.058334       0.058334         9       8.0       9.0       0.208598
     40.00     -5.00      12.424050       0.046673       0.046673         9       8.0       9.0       0.208598
     40.00      0.00      10.000000       0.017311       0.017311         9       8.0       9.0       0.208598
     40.00      5.00       7.575950       0.037426       0.037426         9       8.0       9.0       0.208598
     50.00    -20.00      19.696190       0.000000       0.000000         9       8.0       9.0       0.208598
     50.00    -15.00      17.272141       0.000000       0.000000         9       8.0       9.0       0.208598
     50.00    -10.00      14.848100       0.000000       0.000000         9       8.0       9.0       0.208598
     50.00     -5.00      12.424050       0.000000       0.000000         9       8.0       9.0       0.208598
     50.00      0.00      10.000000       0.000000       0.000000         9       8.0       9.0       0.208598
     50.00      5.00       7.575950       0.000000       0.000000         9       8.0       9.0       0.208598
