      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
    -50.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
    -50.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
    -50.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
    -50.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
    -50.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
    -40.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
    -30.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
    -20.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
    -20.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
    -20.00    -10.00      18.746201       0.011534       0.011534         4       3.0       4.0       0.222827
    -20.00     -5.00      14.373100       0.071988       0.071988         4       3.0       4.0       0.222827
    -20.00      0.00      10.000000       0.100276       0.100276         4       3.0       4.0       0.222827
    -20.00      5.00       5.626900       0.164602       0.164602         4       3.0       4.0       0.222827
    -10.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
    -10.00    -15.00      23.119301       0.030191       0.030191         4       3.0       4.0       0.222827
    -10.00    -10.00      18.746201       0.055945       0.055945         4       3.0       4.0       0.222827
    -10.00     -5.00      14.373100       0.094975       0.094975         4       3.0       4.0       0.222827
    -10.00      0.00      10.000000       0.137919       0.137919         4       3.0       4.0       0.222827
    -10.00      5.00       5.626900       0.143573       0.143573         4       3.0       4.0       0.222827
      0.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
      0.00    -15.00      23.119301       0.017762       0.017762         4       3.0       4.0       0.222827
      0.00    -10.00      18.746201       0.059430       0.059430         4       3.0       4.0       0.222827
      0.00     -5.00      14.373100       0.127972       0.127972         4       3.0       4.0       0.222827
      0.00      0.00      10.000000       0.158986       0.158986         4       3.0       4.0       0.222827
      0.00      5.00       5.626900       0.179251       0.179251         4       3.0       4.0       0.222827
     10.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
     10.00    -15.00      23.119301       0.033290       0.033290         4       3.0       4.0       0.222827
     10.00    -10.00      18.746201       0.064675       0.064675         4       3.0       4.0       0.222827
     10.00     -5.00      14.373100       0.113896       0.113896         4       3.0       4.0       0.222827
     10.00      0.00      10.000000       0.142827       0.142827         4       3.0       4.0       0.222827
     10.00      5.00       5.626900       0.175073       0.175073         4       3.0       4.0       0.222827
     20.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
     20.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
     20.00    -10.00      18.746201       0.028311       0.028311         4       3.0       4.0       0.222827
     20.00     -5.00      14.373100       0.076583       0.076583         4       3.0       4.0       0.222827
     20.00      0.00      10.000000       0.122334       0.122334         4       3.0       4.0       0.222827
     20.00      5.00       5.626900       0.137412       0.137412         4       3.0       4.0       0.222827
     30.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
     30.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
     30.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
     30.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
     30.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
     30.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
     40.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00    -20.00      27.492390       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00    -15.00      23.119301       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00    -10.00      18.746201       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00     -5.00      14.373100       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00      0.00      10.000000       0.000000       0.000000         4       3.0       4.0       0.222827
     50.00      5.00       5.626900       0.000000       0.000000         4       3.0       4.0       0.222827
