      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -50.00    -20.00      27.492390       0.000000       0.000000        12      11.0      12.0       0.222827     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -50.00    -15.00      23.119301       0.033139       0.033139        12      11.0      12.0       0.222827      99.790001     247.880005      27.870001      65.820000     118.820000      75.699997
    -50.00    -10.00      18.746201       0.012929       0.012929        12      11.0      12.0       0.222827     128.880005     259.690002      56.689999      45.160000     122.459999      50.759998
    -50.00     -5.00      14.373100       0.010603       0.010603        12      11.0      12.0       0.222827      72.239998     267.049988      28.290001      62.509998    -103.110001     -83.040001
    -50.00      0.00      10.000000       0.010615       0.010615        12      11.0      12.0       0.222827     130.529999     247.839996      81.220001      18.600000     -73.540001    -151.410004
    -50.00      5.00       5.626900       0.010273       0.010273        12      11.0      12.0       0.222827     173.589996     332.190002      28.620001      63.070000     108.989998      79.930000
    -40.00    -20.00      27.492390       0.049882       0.049882        12      11.0      12.0       0.222827      50.939999     287.529999      56.279999      50.470001      49.919998     133.970001
    -40.00    -15.00      23.119301       0.048171       0.048171        12      11.0      12.0       0.222827     293.929993      27.459999      81.989998      66.330002     156.080002       8.750000
    -40.00    -10.00      18.746201       0.037506       0.037506        12      11.0      12.0       0.222827     109.330002     357.209991      68.750000      45.919998    -131.720001     -30.299999
    -40.00     -5.00      14.373100       0.072451       0.072451        12      11.0      12.0       0.222827      92.940002     298.989990      60.730000      31.950001    -103.440002     -67.470001
    -40.00      0.00      10.000000       0.116652       0.116652        12      11.0      12.0       0.222827      86.519997     285.929993      56.259998      35.299999    -101.070000     -73.949997
    -40.00      5.00       5.626900       0.140163       0.140163        12      11.0      12.0       0.222827      87.690002     283.500000      55.830002      35.200001     -99.040001     -76.970001
    -30.00    -20.00      27.492390       0.027621       0.027621        12      11.0      12.0       0.222827     290.679993      27.690001      82.879997      45.680000     135.240005       9.980000
    -30.00    -15.00      23.119301       0.039592       0.039592        12      11.0      12.0       0.222827     109.849998       9.550000      78.820000      47.869999    -136.860001     -15.150000
