   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1      26.261110      37.822941      27.492390     0.197   215.441    38.216   101.024    21.515    52.612    81.438    -50.00    -20.00    1
    2      26.374559      37.818722      27.492390     0.214    26.602    54.592    53.473   258.568    49.084   129.939    -40.00    -20.00    0
    3      26.488001      37.814400      27.492390     0.233    47.801    32.884    27.633   294.069    75.415   119.803    -30.00    -20.00    0
    4      26.601431      37.809959      27.492390     0.239    61.148    25.019    58.756   274.951    68.802   103.609    -20.00    -20.00    0
    5      26.714840      37.805408      27.492390     0.182    67.770    46.061    68.496   277.357    47.937   110.826    -10.00    -20.00    0
    6      26.828239      37.800758      27.492390     0.153    48.757    68.808    78.020   259.169    24.207   118.163      0.00    -20.00    0
    7      26.941620      37.796001      27.492390     0.189   150.391    32.878    37.400    27.686    70.749   117.180     10.00    -20.00    1
    8      27.054991      37.791119      27.492390     0.226   174.284    32.489    80.559     5.436    58.004    95.963     20.00    -20.00    1
    9      27.168341      37.786140      27.492390     0.343   100.109    51.733   121.262   235.679    47.845    56.659     30.00    -20.00    0
   10      27.281679      37.781052      27.492390     0.159    97.969    40.980   121.389   239.025    55.957    65.656     40.00    -20.00    0
   11      27.395010      37.775841      27.492390     0.292   157.384    89.076   -75.571   250.969    14.458  -176.299     50.00    -20.00    0
   12      26.262381      37.844761      23.119301     0.291   205.451    49.228    91.824    22.659    40.805    87.886    -50.00    -15.00    1
   13      26.375870      37.840542      23.119301     0.237   254.905    53.357   145.942     6.877    63.298    41.919    -40.00    -15.00    0
   14      26.489340      37.836208      23.119301     0.283   107.409    89.496  -113.492    16.249    23.497    -1.263    -30.00    -15.00    0
   15      26.602800      37.831772      23.119301     0.347    30.440    20.619    21.753   279.961    82.501   109.263    -20.00    -15.00    0
   16      26.716249      37.827229      23.119301     0.247   295.831    88.456   150.795    26.693    60.807     1.768    -10.00    -15.00    0
   17      26.829679      37.822571      23.119301     0.170    13.369    85.785    82.663   253.652     8.455   150.013      0.00    -15.00    0
   18      26.943090      37.817799      23.119301     0.357   131.032    50.563     0.171    40.924    89.868   140.563     10.00    -15.00    0
   19      27.056499      37.812931      23.119301     0.293   129.931    56.252     6.581    36.263    84.531   146.077     20.00    -15.00    0
   20      27.169880      37.807941      23.119301     0.258    95.126    50.321   127.726   224.660    52.502    53.588     30.00    -15.00    0
   21      27.283260      37.802849      23.119301     0.129   213.265    69.857   110.162   346.428    28.199    46.781     40.00    -15.00    1
   22      27.396610      37.797649      23.119301     0.394   146.545    81.812   -65.724   254.070    25.540  -160.711     50.00    -15.00    0
   23      26.263651      37.866570      18.746201     0.298   171.420    57.350    78.493    12.094    34.405   107.294    -50.00    -10.00    1
   24      26.377171      37.862350      18.746201     0.259   137.583    73.672   -51.322   246.934    41.480  -154.885    -40.00    -10.00    0
   25      26.490681      37.858028      18.746201     0.433   106.986    64.045   -93.368   294.646    26.158   -83.117    -30.00    -10.00    0
   26      26.604170      37.853588      18.746201     0.518   100.401    79.011  -110.921   343.898    23.516   -28.537    -20.00    -10.00    0
   27      26.717649      37.849041      18.746201     0.426   107.563    68.632  -128.981   353.324    43.621   -31.879    -10.00    -10.00    0
   28      26.831120      37.844379      18.746201     0.405   135.828    59.098   -47.728   255.292    50.586  -138.337      0.00    -10.00    0
   29      26.944571      37.839611      18.746201     0.619   125.402    53.269   -25.654   231.428    69.697  -140.381     10.00    -10.00    0
   30      27.058001      37.834740      18.746201     0.574   126.611    63.913   -24.381   227.882    68.238  -151.739     20.00    -10.00    0
   31      27.171419      37.829750      18.746201     0.086    99.994    57.789  -102.386   302.385    34.269   -71.198     30.00    -10.00    0
   32      27.284830      37.824650      18.746201     0.200   312.161    60.326   -14.480    49.447    77.452  -149.524     40.00    -10.00    0
   33      27.398220      37.819450      18.746201     0.441   131.127    73.809   -59.363   246.338    34.281  -150.327     50.00    -10.00    0
   34      26.264931      37.888390      14.373100     0.243   159.989    63.435    68.005    22.078    33.971   126.836    -50.00     -5.00    1
   35      26.378481      37.884171      14.373100     0.368   112.229    60.180   -69.898   255.876    35.438  -120.949    -40.00     -5.00    0
   36      26.492020      37.879841      14.373100     0.914   101.203    59.952   -86.874   274.978    30.195   -95.386    -30.00     -5.00    0
   37      26.605551      37.875401      14.373100     0.750    93.334    66.092  -114.302   321.427    33.572   -47.128    -20.00     -5.00    0
   38      26.719061      37.870850      14.373100     0.779   104.306    55.586  -115.200   324.087    41.715   -58.139    -10.00     -5.00    0
   39      26.832560      37.866192      14.373100     0.880   115.288    49.449   -71.919   268.623    43.755  -109.937      0.00     -5.00    0
   40      26.946039      37.861420      14.373100     1.043   116.658    52.076   -49.419   242.320    53.195  -129.858     10.00     -5.00    0
   41      27.059509      37.856541      14.373100     0.962   120.016    55.057   -38.008   234.130    59.685  -138.434     20.00     -5.00    0
   42      27.172970      37.851559      14.373100     0.371   110.711    44.676   -61.572   253.430    51.807  -115.206     30.00     -5.00    0
   43      27.286400      37.846458      14.373100     0.373    58.467    52.143  -136.102   297.904    56.808   -47.168     40.00     -5.00    0
   44      27.399830      37.841251      14.373100     0.507   123.064    63.606   -51.289   242.080    45.655  -141.566     50.00     -5.00    0
   45      26.266199      37.910210      10.000000     0.204   310.044    60.038   -14.067    47.178    77.844  -149.277    -50.00      0.00    0
   46      26.379789      37.905991      10.000000     0.712    77.122    57.366  -109.476   290.378    37.444   -62.496    -40.00      0.00    0
   47      26.493361      37.901649      10.000000     1.331    95.969    57.570   -88.453   273.086    32.463   -92.433    -30.00      0.00    0
   48      26.606920      37.897209      10.000000     1.142    91.071    59.923  -114.456   313.295    38.028   -54.441    -20.00      0.00    0
   49      26.720470      37.892658      10.000000     1.142   100.030    53.559  -114.822   317.937    43.101   -60.380    -10.00      0.00    0
   50      26.834000      37.888000      10.000000     1.274   110.896    50.642   -80.337   275.867    40.339  -101.566      0.00      0.00    0
   51      26.947519      37.883228      10.000000     1.457   114.702    53.037   -57.647   248.210    47.546  -125.417     10.00      0.00    0
   52      27.061020      37.878349      10.000000     1.389   116.247    52.893   -46.824   238.987    54.438  -132.129     20.00      0.00    0
   53      27.174509      37.873360      10.000000     0.728   112.851    50.337   -50.256   240.361    53.707  -127.636     30.00      0.00    0
   54      27.287979      37.868259      10.000000     0.596    92.623    37.893   -83.616   264.553    52.383   -94.946     40.00      0.00    0
   55      27.401440      37.863060      10.000000     0.586   122.788    62.817   -51.125   242.327    46.170  -140.708     50.00      0.00    0
   56      26.267481      37.932018       5.626900     0.285    54.336    66.180  -136.531   303.387    50.997   -31.312    -50.00      5.00    0
   57      26.381100      37.927799       5.626900     0.871    74.176    56.366  -109.961   287.430    38.503   -62.835    -40.00      5.00    0
   58      26.494699      37.923470       5.626900     1.684    94.764    54.944   -88.245   271.710    35.094   -92.499    -30.00      5.00    0
   59      26.608299      37.919022       5.626900     1.390    85.470    57.538  -117.028   309.015    41.271   -54.460    -20.00      5.00    0
   60      26.721880      37.914471       5.626900     1.373    98.542    53.294  -114.115   315.373    42.967   -61.276    -10.00      5.00    0
   61      26.835440      37.909809       5.626900     1.535   109.619    51.867   -81.466   275.961    38.934  -100.704      0.00      5.00    0
   62      26.948990      37.905041       5.626900     1.728   113.214    54.426   -61.933   250.706    44.134  -123.338     10.00      5.00    0
   63      27.062531      37.900162       5.626900     1.667   111.951    50.585   -52.338   241.394    52.295  -126.629     20.00      5.00    0
   64      27.176050      37.895168       5.626900     0.970   110.309    51.817   -53.136   239.811    51.032  -127.338     30.00      5.00    0
   65      27.289560      37.890072       5.626900     0.726    96.019    37.161   -76.966   259.822    53.950   -99.701     40.00      5.00    0
   66      27.403040      37.884861       5.626900     0.589   121.993    59.508   -48.454   241.788    49.841  -138.399     50.00      5.00    0
