      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      27.492390       0.047036       0.047036        13      12.0      13.0       0.222827
    -50.00    -15.00      23.119301       0.071341       0.071341        13      12.0      13.0       0.222827
    -50.00    -10.00      18.746201       0.034504       0.034504        13      12.0      13.0       0.222827
    -50.00     -5.00      14.373100       0.023440       0.023440        13      12.0      13.0       0.222827
    -50.00      0.00      10.000000       0.015045       0.015045        13      12.0      13.0       0.222827
    -50.00      5.00       5.626900       0.030862       0.030862        13      12.0      13.0       0.222827
    -40.00    -20.00      27.492390       0.049455       0.049455        13      12.0      13.0       0.222827
    -40.00    -15.00      23.119301       0.042786       0.042786        13      12.0      13.0       0.222827
    -40.00    -10.00      18.746201       0.040413       0.040413        13      12.0      13.0       0.222827
    -40.00     -5.00      14.373100       0.079962       0.079962        13      12.0      13.0       0.222827
    -40.00      0.00      10.000000       0.117835       0.117835        13      12.0      13.0       0.222827
    -40.00      5.00       5.626900       0.145189       0.145189        13      12.0      13.0       0.222827
    -30.00    -20.00      27.492390       0.025225       0.025225        13      12.0      13.0       0.222827
    -30.00    -15.00      23.119301       0.033577       0.033577        13      12.0      13.0       0.222827
    -30.00    -10.00      18.746201       0.064556       0.064556        13      12.0      13.0       0.222827
    -30.00     -5.00      14.373100       0.111525       0.111525        13      12.0      13.0       0.222827
    -30.00      0.00      10.000000       0.151039       0.151039        13      12.0      13.0       0.222827
    -30.00      5.00       5.626900       0.173447       0.173447        13      12.0      13.0       0.222827
    -20.00    -20.00      27.492390       0.017073       0.017073        13      12.0      13.0       0.222827
    -20.00    -15.00      23.119301       0.027041       0.027041        13      12.0      13.0       0.222827
    -20.00    -10.00      18.746201       0.053257       0.053257        13      12.0      13.0       0.222827
    -20.00     -5.00      14.373100       0.086923       0.086923        13      12.0      13.0       0.222827
    -20.00      0.00      10.000000       0.102535       0.102535        13      12.0      13.0       0.222827
    -20.00      5.00       5.626900       0.109963       0.109963        13      12.0      13.0       0.222827
    -10.00    -20.00      27.492390       0.014580       0.014580        13      12.0      13.0       0.222827
    -10.00    -15.00      23.119301       0.017963       0.017963        13      12.0      13.0       0.222827
    -10.00    -10.00      18.746201       0.027006       0.027006        13      12.0      13.0       0.222827
    -10.00     -5.00      14.373100       0.015338       0.015338        13      12.0      13.0       0.222827
    -10.00      0.00      10.000000       0.006390       0.006390        13      12.0      13.0       0.222827
    -10.00      5.00       5.626900       0.014752       0.014752        13      12.0      13.0       0.222827
      0.00    -20.00      27.492390       0.017201       0.017201        13      12.0      13.0       0.222827
      0.00    -15.00      23.119301       0.011335       0.011335        13      12.0      13.0       0.222827
      0.00    -10.00      18.746201       0.013902       0.013902        13      12.0      13.0       0.222827
      0.00     -5.00      14.373100       0.008969       0.008969        13      12.0      13.0       0.222827
      0.00      0.00      10.000000       0.011418       0.011418        13      12.0      13.0       0.222827
      0.00      5.00       5.626900       0.006635       0.006635        13      12.0      13.0       0.222827
     10.00    -20.00      27.492390       0.024238       0.024238        13      12.0      13.0       0.222827
     10.00    -15.00      23.119301       0.029087       0.029087        13      12.0      13.0       0.222827
     10.00    -10.00      18.746201       0.033492       0.033492        13      12.0      13.0       0.222827
     10.00     -5.00      14.373100       0.006772       0.006772        13      12.0      13.0       0.222827
     10.00      0.00      10.000000       0.017725       0.017725        13      12.0      13.0       0.222827
     10.00      5.00       5.626900       0.019371       0.019371        13      12.0      13.0       0.222827
     20.00    -20.00      27.492390       0.023007       0.023007        13      12.0      13.0       0.222827
     20.00    -15.00      23.119301       0.047048       0.047048        13      12.0      13.0       0.222827
     20.00    -10.00      18.746201       0.046911       0.046911        13      12.0      13.0       0.222827
     20.00     -5.00      14.373100       0.044792       0.044792        13      12.0      13.0       0.222827
     20.00      0.00      10.000000       0.082707       0.082707        13      12.0      13.0       0.222827
     20.00      5.00       5.626900       0.101278       0.101278        13      12.0      13.0       0.222827
     30.00    -20.00      27.492390       0.021370       0.021370        13      12.0      13.0       0.222827
     30.00    -15.00      23.119301       0.030325       0.030325        13      12.0      13.0       0.222827
     30.00    -10.00      18.746201       0.030400       0.030400        13      12.0      13.0       0.222827
     30.00     -5.00      14.373100       0.057244       0.057244        13      12.0      13.0       0.222827
     30.00      0.00      10.000000       0.093268       0.093268        13      12.0      13.0       0.222827
     30.00      5.00       5.626900       0.118880       0.118880        13      12.0      13.0       0.222827
     40.00    -20.00      27.492390       0.029944       0.029944        13      12.0      13.0       0.222827
     40.00    -15.00      23.119301       0.034562       0.034562        13      12.0      13.0       0.222827
     40.00    -10.00      18.746201       0.020978       0.020978        13      12.0      13.0       0.222827
     40.00     -5.00      14.373100       0.046955       0.046955        13      12.0      13.0       0.222827
     40.00      0.00      10.000000       0.072613       0.072613        13      12.0      13.0       0.222827
     40.00      5.00       5.626900       0.093096       0.093096        13      12.0      13.0       0.222827
     50.00    -20.00      27.492390       0.039633       0.039633        13      12.0      13.0       0.222827
     50.00    -15.00      23.119301       0.038223       0.038223        13      12.0      13.0       0.222827
     50.00    -10.00      18.746201       0.039351       0.039351        13      12.0      13.0       0.222827
     50.00     -5.00      14.373100       0.042775       0.042775        13      12.0      13.0       0.222827
     50.00      0.00      10.000000       0.036785       0.036785        13      12.0      13.0       0.222827
     50.00      5.00       5.626900       0.027379       0.027379        13      12.0      13.0       0.222827
