   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.197      26.261110      37.822941      27.492390     10.00      5.00   215.441    38.216   101.024    -50.00    -20.00    1
    2     0.214      26.374559      37.818722      27.492390     10.00      5.00   258.568    49.084   129.939    -40.00    -20.00    0
    3     0.233      26.488001      37.814400      27.492390     10.00      5.00   294.069    75.415   119.803    -30.00    -20.00    0
    4     0.239      26.601431      37.809959      27.492390     10.00      5.00    61.148    25.019    58.756    -20.00    -20.00    0
    5     0.182      26.714840      37.805408      27.492390     10.00      5.00    67.770    46.061    68.496    -10.00    -20.00    0
    6     0.153      26.828239      37.800758      27.492390     10.00      5.00    48.757    68.808    78.020      0.00    -20.00    0
    7     0.189      26.941620      37.796001      27.492390     10.00      5.00   150.391    32.878    37.400     10.00    -20.00    1
    8     0.226      27.054991      37.791119      27.492390     10.00      5.00   174.284    32.489    80.559     20.00    -20.00    1
    9     0.343      27.168341      37.786140      27.492390     10.00      5.00   100.109    51.733   121.262     30.00    -20.00    0
   10     0.159      27.281679      37.781052      27.492390     10.00      5.00    97.969    40.980   121.389     40.00    -20.00    0
   11     0.292      27.395010      37.775841      27.492390     10.00      5.00   250.969    14.458  -176.299     50.00    -20.00    0
   12     0.291      26.262381      37.844761      23.119301     10.00      5.00   205.451    49.228    91.824    -50.00    -15.00    1
   13     0.237      26.375870      37.840542      23.119301     10.00      5.00   254.905    53.357   145.942    -40.00    -15.00    0
   14     0.283      26.489340      37.836208      23.119301     10.00      5.00   107.409    89.496  -113.492    -30.00    -15.00    0
   15     0.347      26.602800      37.831772      23.119301     10.00      5.00   279.961    82.501   109.263    -20.00    -15.00    0
   16     0.247      26.716249      37.827229      23.119301     10.00      5.00   295.831    88.456   150.795    -10.00    -15.00    0
   17     0.170      26.829679      37.822571      23.119301     10.00      5.00   253.652     8.455   150.013      0.00    -15.00    0
   18     0.357      26.943090      37.817799      23.119301     10.00      5.00   131.032    50.563     0.171     10.00    -15.00    0
   19     0.293      27.056499      37.812931      23.119301     10.00      5.00   129.931    56.252     6.581     20.00    -15.00    0
   20     0.258      27.169880      37.807941      23.119301     10.00      5.00    95.126    50.321   127.726     30.00    -15.00    0
   21     0.129      27.283260      37.802849      23.119301     10.00      5.00   213.265    69.857   110.162     40.00    -15.00    1
   22     0.394      27.396610      37.797649      23.119301     10.00      5.00   254.070    25.540  -160.711     50.00    -15.00    0
   23     0.298      26.263651      37.866570      18.746201     10.00      5.00   171.420    57.350    78.493    -50.00    -10.00    1
   24     0.259      26.377171      37.862350      18.746201     10.00      5.00   137.583    73.672   -51.322    -40.00    -10.00    0
   25     0.433      26.490681      37.858028      18.746201     10.00      5.00   106.986    64.045   -93.368    -30.00    -10.00    0
   26     0.518      26.604170      37.853588      18.746201     10.00      5.00   100.401    79.011  -110.921    -20.00    -10.00    0
   27     0.426      26.717649      37.849041      18.746201     10.00      5.00   107.563    68.632  -128.981    -10.00    -10.00    0
   28     0.405      26.831120      37.844379      18.746201     10.00      5.00   135.828    59.098   -47.728      0.00    -10.00    0
   29     0.619      26.944571      37.839611      18.746201     10.00      5.00   125.402    53.269   -25.654     10.00    -10.00    0
   30     0.574      27.058001      37.834740      18.746201     10.00      5.00   126.611    63.913   -24.381     20.00    -10.00    0
   31     0.086      27.171419      37.829750      18.746201     10.00      5.00    99.994    57.789  -102.386     30.00    -10.00    0
   32     0.200      27.284830      37.824650      18.746201     10.00      5.00   312.161    60.326   -14.480     40.00    -10.00    0
   33     0.441      27.398220      37.819450      18.746201     10.00      5.00   131.127    73.809   -59.363     50.00    -10.00    0
