   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   55      26.944571      37.839611      18.746201     0.442   127.688    65.805   -39.922   236.617    54.171  -149.635     10.00    -10.00    0
   56      27.001289      37.837189      18.746201     0.293   137.289    83.617   -38.384   232.322    51.897  -171.878     15.00    -10.00    0
   57      27.058001      37.834740      18.746201     0.134   323.563    85.608    44.381   229.277    45.783   173.867     20.00    -10.00    0
   58      27.114719      37.832260      18.746201     0.187    92.814    16.291  -175.480   358.475    88.733   -73.757     25.00    -10.00    0
   59      27.171419      37.829750      18.746201     0.102    95.475    15.631   -99.406   285.236    74.584   -87.382     30.00    -10.00    0
   60      27.228130      37.827221      18.746201     0.182   128.745    62.000   -52.116   249.852    45.824  -139.111     35.00    -10.00    0
   61      27.284830      37.824650      18.746201     0.378   144.998    78.234   -54.899   251.177    36.780  -160.089     40.00    -10.00    0
   62      27.341530      37.822071      18.746201     0.470   162.079    87.625   -78.343   263.434    11.893  -168.402     45.00    -10.00    0
   63      27.398220      37.819450      18.746201     0.316   256.492    11.150   170.789   355.532    88.226    78.991     50.00    -10.00    0
   64      26.264931      37.888390      14.373100     0.171   322.992    33.692    10.006   224.641    84.469   123.287    -50.00     -5.00    1
   65      26.321711      37.886292      14.373100     0.365   316.794    62.259   -24.317    58.672    68.626  -150.010    -45.00     -5.00    0
   66      26.378481      37.884171      14.373100     0.603    63.448    69.221  -132.641   312.379    46.547   -29.255    -40.00     -5.00    0
   67      26.435249      37.882019      14.373100     0.647    86.113    59.644  -106.052   295.767    33.978   -64.727    -35.00     -5.00    0
   68      26.492020      37.879841      14.373100     0.944   110.428    59.805   -75.002   262.384    33.397  -113.976    -30.00     -5.00    0
   69      26.548790      37.877628      14.373100     1.174   111.672    59.292   -72.700   260.292    34.826  -116.596    -25.00     -5.00    0
   70      26.605551      37.875401      14.373100     1.202   109.662    61.558   -75.752   261.597    31.543  -114.437    -20.00     -5.00    0
   71      26.662310      37.873138      14.373100     1.127   107.389    61.582   -80.863   268.715    29.734  -106.356    -15.00     -5.00    0
   72      26.719061      37.870850      14.373100     1.146   102.920    57.284   -90.215   283.317    32.717   -89.666    -10.00     -5.00    0
   73      26.775810      37.868530      14.373100     1.336    99.429    54.221   -94.999   287.938    36.080   -83.106     -5.00     -5.00    0
   74      26.832560      37.866192      14.373100     1.332    98.610    52.006   -92.576   282.790    38.068   -86.707      0.00     -5.00    0
   75      26.889299      37.863819      14.373100     1.193   100.885    50.728   -83.668   270.942    39.698   -97.682      5.00     -5.00    0
   76      26.946039      37.861420      14.373100     0.895   105.892    50.273   -71.476   258.226    43.177  -110.922     10.00     -5.00    0
   77      27.002781      37.859001      14.373100     0.595   109.720    51.345   -61.295   248.480    46.768  -120.984     15.00     -5.00    0
   78      27.059509      37.856541      14.373100     0.405    85.792    47.870   -88.595   263.697    42.149   -91.553     20.00     -5.00    0
   79      27.116240      37.854061      14.373100     0.384    63.909    46.548  -125.706   290.171    53.879   -58.365     25.00     -5.00    0
   80      27.172970      37.851559      14.373100     0.436    80.500    44.248  -100.751   275.346    46.724   -79.701     30.00     -5.00    0
   81      27.229691      37.849018      14.373100     0.474   110.186    49.518   -66.559   256.448    45.746  -114.989     35.00     -5.00    0
   82      27.286400      37.846458      14.373100     0.622   125.342    61.238   -53.497   248.374    45.198  -137.301     40.00     -5.00    0
   83      27.343121      37.843868      14.373100     0.592   131.655    69.079   -56.852   250.324    38.550  -145.041     45.00     -5.00    0
   84      27.399830      37.841251      14.373100     0.351   155.455    80.572   -67.161   266.709    24.612  -156.838     50.00     -5.00    0
   85      26.266199      37.910210      10.000000     0.218   309.853    35.838   -10.917    48.740    83.634  -125.343    -50.00      0.00    0
   86      26.323000      37.908112      10.000000     0.496    61.076    66.070  -130.971   306.039    46.359   -34.091    -45.00      0.00    0
   87      26.379789      37.905991      10.000000     0.958    71.921    59.081  -115.377   294.633    39.184   -54.414    -40.00      0.00    0
   88      26.436581      37.903831      10.000000     1.197    86.501    55.572   -98.179   280.765    35.269   -78.274    -35.00      0.00    0
   89      26.493361      37.901649      10.000000     1.420   102.342    55.944   -77.915   261.418    35.892  -107.210    -30.00      0.00    0
   90      26.550140      37.899448      10.000000     1.668   107.485    58.222   -73.183   257.633    35.537  -115.033    -25.00      0.00    0
   91      26.606920      37.897209      10.000000     1.833   107.313    59.862   -75.321   259.759    33.218  -113.581    -20.00      0.00    0
   92      26.663700      37.894951      10.000000     1.796   104.421    59.150   -82.370   269.780    31.689  -102.533    -15.00      0.00    0
   93      26.720470      37.892658      10.000000     1.784   102.295    55.558   -90.176   282.606    34.442   -89.743    -10.00      0.00    0
   94      26.777241      37.890339      10.000000     1.906   100.890    53.587   -94.075   287.734    36.609   -84.497     -5.00      0.00    0
   95      26.834000      37.888000      10.000000     1.888   102.399    51.925   -90.490   283.193    38.078   -89.375      0.00      0.00    0
   96      26.890760      37.885632      10.000000     1.687   104.190    50.738   -83.914   274.627    39.655   -97.391      5.00      0.00    0
   97      26.947519      37.883228      10.000000     1.376   101.761    48.510   -80.412   267.456    42.387  -100.666     10.00      0.00    0
   98      27.004271      37.880798      10.000000     0.969    96.500    46.650   -80.497   262.795    44.176   -99.920     15.00      0.00    0
   99      27.061020      37.878349      10.000000     0.691    73.224    44.545  -102.006   269.839    46.676   -78.429     20.00      0.00    0
  100      27.117769      37.875870      10.000000     0.660    65.438    45.435  -113.824   277.617    49.326   -67.701     25.00      0.00    0
  101      27.174509      37.873360      10.000000     0.738    79.814    44.670  -101.416   275.665    46.440   -78.929     30.00      0.00    0
  102      27.231251      37.870831      10.000000     0.780   103.647    46.321   -73.291   260.153    46.157  -106.757     35.00      0.00    0
  103      27.287979      37.868259      10.000000     0.847   115.660    57.165   -60.934   249.951    42.743  -126.973     40.00      0.00    0
  104      27.344709      37.865669      10.000000     0.775   122.646    63.164   -59.069   249.639    40.057  -135.454     45.00      0.00    0
  105      27.401440      37.863060      10.000000     0.431   128.444    66.598   -57.067   249.960    39.622  -141.478     50.00      0.00    0
  106      26.267481      37.932018       5.626900     0.253    46.757    77.351  -123.512   298.458    35.557   -22.121    -50.00      5.00    0
  107      26.324289      37.929932       5.626900     0.641    65.481    62.598  -122.663   299.806    41.634   -43.847    -45.00      5.00    0
  108      26.381100      37.927799       5.626900     1.163    75.022    57.513  -110.288   289.561    37.704   -61.430    -40.00      5.00    0
  109      26.437901      37.925652       5.626900     1.451    87.195    53.854   -94.715   275.155    36.410   -83.579    -35.00      5.00    0
  110      26.494699      37.923470       5.626900     1.742   101.253    54.652   -77.255   259.899    37.292  -107.278    -30.00      5.00    0
  111      26.551500      37.921261       5.626900     1.982   106.245    57.905   -73.107   256.494    35.844  -114.859    -25.00      5.00    0
  112      26.608299      37.919022       5.626900     2.252   107.284    59.454   -74.680   258.957    33.838  -114.120    -20.00      5.00    0
  113      26.665091      37.916759       5.626900     2.237   104.146    56.758   -80.726   267.559    34.368  -103.814    -15.00      5.00    0
  114      26.721880      37.914471       5.626900     2.214   102.650    54.906   -88.034   279.233    35.142   -92.795    -10.00      5.00    0
  115      26.778660      37.912151       5.626900     2.296   103.045    52.997   -91.035   284.765    37.015   -88.627     -5.00      5.00    0
  116      26.835440      37.909809       5.626900     2.275   103.719    51.767   -88.522   281.331    38.257   -91.876      0.00      5.00    0
  117      26.892220      37.907440       5.626900     2.082   104.102    50.761   -84.150   274.902    39.602   -97.114      5.00      5.00    0
  118      26.948990      37.905041       5.626900     1.710    99.864    47.561   -84.053   271.087    42.776   -96.465     10.00      5.00    0
  119      27.005760      37.902611       5.626900     1.290    89.254    45.319   -87.905   266.276    44.720   -92.117     15.00      5.00    0
  120      27.062531      37.900162       5.626900     0.889    71.827    45.720  -100.036   266.051    45.172   -79.868     20.00      5.00    0
  121      27.119289      37.897678       5.626900     0.871    69.311    43.627  -108.592   274.237    49.160   -73.095     25.00      5.00    0
  122      27.176050      37.895168       5.626900     1.023    78.664    42.348  -102.770   275.713    48.930   -78.609     30.00      5.00    0
  123      27.232800      37.892632       5.626900     0.872    96.246    44.883   -81.564   264.423    45.731   -98.313     35.00      5.00    0
  124      27.289560      37.890072       5.626900     0.991   111.726    54.920   -65.419   253.209    41.910  -120.639     40.00      5.00    0
  125      27.346300      37.887482       5.626900     0.846   117.300    59.100   -62.793   252.270    40.259  -127.377     45.00      5.00    0
  126      27.403040      37.884861       5.626900     0.527   123.653    65.462   -61.256   250.784    37.099  -136.490     50.00      5.00    0
