   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
   53      2.00     10.00     0.510      26.831120      37.844379      18.746201      5.00      5.00   107.317    58.632   -83.074      0.00    -10.00
   54      3.00     11.00     0.472      26.887840      37.842010      18.746201      5.00      5.00   118.144    59.135   -57.240      5.00    -10.00
   55      3.00     11.00     0.442      26.944571      37.839611      18.746201      5.00      5.00   127.688    65.805   -39.922     10.00    -10.00
   56      5.00      7.00     0.293      27.001289      37.837189      18.746201      5.00      5.00   137.289    83.617   -38.384     15.00    -10.00
   57      5.00      5.00     0.134      27.058001      37.834740      18.746201      5.00      5.00   229.277    45.783   173.867     20.00    -10.00
   58      7.00     10.00     0.187      27.114719      37.832260      18.746201      5.00      5.00    92.814    16.291  -175.480     25.00    -10.00
   59      8.00     12.00     0.102      27.171419      37.829750      18.746201      5.00      5.00    95.475    15.631   -99.406     30.00    -10.00
   60      9.00     12.00     0.182      27.228130      37.827221      18.746201      5.00      5.00   128.745    62.000   -52.116     35.00    -10.00
   61     11.00     11.00     0.378      27.284830      37.824650      18.746201      5.00      5.00   251.177    36.780  -160.089     40.00    -10.00
   62     12.00     12.00     0.470      27.341530      37.822071      18.746201      5.00      5.00   263.434    11.893  -168.402     45.00    -10.00
   63     14.00     11.00     0.316      27.398220      37.819450      18.746201      5.00      5.00   256.492    11.150   170.789     50.00    -10.00
   64     14.00     11.00     0.171      26.264931      37.888390      14.373100      5.00      5.00   322.992    33.692    10.006    -50.00     -5.00
   65     13.00     11.00     0.365      26.321711      37.886292      14.373100      5.00      5.00   316.794    62.259   -24.317    -45.00     -5.00
   66     11.00     12.00     0.603      26.378481      37.884171      14.373100      5.00      5.00    63.448    69.221  -132.641    -40.00     -5.00
   67      9.00     12.00     0.647      26.435249      37.882019      14.373100      5.00      5.00    86.113    59.644  -106.052    -35.00     -5.00
   68      8.00      9.00     0.944      26.492020      37.879841      14.373100      5.00      5.00   110.428    59.805   -75.002    -30.00     -5.00
   69      7.00     10.00     1.174      26.548790      37.877628      14.373100      5.00      5.00   111.672    59.292   -72.700    -25.00     -5.00
   70      6.00     10.00     1.202      26.605551      37.875401      14.373100      5.00      5.00   109.662    61.558   -75.752    -20.00     -5.00
   71      6.00      9.00     1.127      26.662310      37.873138      14.373100      5.00      5.00   107.389    61.582   -80.863    -15.00     -5.00
   72      2.00     11.00     1.146      26.719061      37.870850      14.373100      5.00      5.00   102.920    57.284   -90.215    -10.00     -5.00
   73      1.00     12.00     1.336      26.775810      37.868530      14.373100      5.00      5.00    99.429    54.221   -94.999     -5.00     -5.00
   74      1.00     11.00     1.332      26.832560      37.866192      14.373100      5.00      5.00    98.610    52.006   -92.576      0.00     -5.00
   75      2.00     10.00     1.193      26.889299      37.863819      14.373100      5.00      5.00   100.885    50.728   -83.668      5.00     -5.00
   76      2.00     10.00     0.895      26.946039      37.861420      14.373100      5.00      5.00   105.892    50.273   -71.476     10.00     -5.00
   77      4.00      9.00     0.595      27.002781      37.859001      14.373100      5.00      5.00   109.720    51.345   -61.295     15.00     -5.00
   78      5.00     12.00     0.405      27.059509      37.856541      14.373100      5.00      5.00    85.792    47.870   -88.595     20.00     -5.00
   79      7.00     11.00     0.384      27.116240      37.854061      14.373100      5.00      5.00    63.909    46.548  -125.706     25.00     -5.00
   80      8.00     12.00     0.436      27.172970      37.851559      14.373100      5.00      5.00    80.500    44.248  -100.751     30.00     -5.00
   81      9.00     11.00     0.474      27.229691      37.849018      14.373100      5.00      5.00   110.186    49.518   -66.559     35.00     -5.00
   82     11.00     11.00     0.622      27.286400      37.846458      14.373100      5.00      5.00   125.342    61.238   -53.497     40.00     -5.00
   83     12.00     12.00     0.592      27.343121      37.843868      14.373100      5.00      5.00   131.655    69.079   -56.852     45.00     -5.00
   84     14.00     12.00     0.351      27.399830      37.841251      14.373100      5.00      5.00   266.709    24.612  -156.838     50.00     -5.00
   85     14.00     12.00     0.218      26.266199      37.910210      10.000000      5.00      5.00   309.853    35.838   -10.917    -50.00      0.00
   86     13.00     12.00     0.496      26.323000      37.908112      10.000000      5.00      5.00    61.076    66.070  -130.971    -45.00      0.00
   87     11.00     12.00     0.958      26.379789      37.905991      10.000000      5.00      5.00    71.921    59.081  -115.377    -40.00      0.00
   88     10.00     11.00     1.197      26.436581      37.903831      10.000000      5.00      5.00    86.501    55.572   -98.179    -35.00      0.00
   89      9.00     10.00     1.420      26.493361      37.901649      10.000000      5.00      5.00   102.342    55.944   -77.915    -30.00      0.00
   90      8.00      9.00     1.668      26.550140      37.899448      10.000000      5.00      5.00   107.485    58.222   -73.183    -25.00      0.00
   91      6.00     10.00     1.833      26.606920      37.897209      10.000000      5.00      5.00   107.313    59.862   -75.321    -20.00      0.00
   92      4.00     11.00     1.796      26.663700      37.894951      10.000000      5.00      5.00   104.421    59.150   -82.370    -15.00      0.00
   93      3.00     10.00     1.784      26.720470      37.892658      10.000000      5.00      5.00   102.295    55.558   -90.176    -10.00      0.00
   94      2.00     11.00     1.906      26.777241      37.890339      10.000000      5.00      5.00   100.890    53.587   -94.075     -5.00      0.00
   95      2.00     10.00     1.888      26.834000      37.888000      10.000000      5.00      5.00   102.399    51.925   -90.490      0.00      0.00
   96      2.00     10.00     1.687      26.890760      37.885632      10.000000      5.00      5.00   104.190    50.738   -83.914      5.00      0.00
   97      3.00      9.00     1.376      26.947519      37.883228      10.000000      5.00      5.00   101.761    48.510   -80.412     10.00      0.00
   98      4.00     10.00     0.969      27.004271      37.880798      10.000000      5.00      5.00    96.500    46.650   -80.497     15.00      0.00
   99      6.00     10.00     0.691      27.061020      37.878349      10.000000      5.00      5.00    73.224    44.545  -102.006     20.00      0.00
  100      7.00     10.00     0.660      27.117769      37.875870      10.000000      5.00      5.00    65.438    45.435  -113.824     25.00      0.00
  101      9.00     11.00     0.738      27.174509      37.873360      10.000000      5.00      5.00    79.814    44.670  -101.416     30.00      0.00
  102      9.00     12.00     0.780      27.231251      37.870831      10.000000      5.00      5.00   103.647    46.321   -73.291     35.00      0.00
  103     11.00     12.00     0.847      27.287979      37.868259      10.000000      5.00      5.00   115.660    57.165   -60.934     40.00      0.00
  104     13.00     11.00     0.775      27.344709      37.865669      10.000000      5.00      5.00   122.646    63.164   -59.069     45.00      0.00
  105     14.00     12.00     0.431      27.401440      37.863060      10.000000      5.00      5.00   128.444    66.598   -57.067     50.00      0.00
  106     14.00     12.00     0.253      26.267481      37.932018       5.626900      5.00      5.00   298.458    35.557   -22.121    -50.00      5.00
  107     13.00     11.00     0.641      26.324289      37.929932       5.626900      5.00      5.00    65.481    62.598  -122.663    -45.00      5.00
  108     11.00     11.00     1.163      26.381100      37.927799       5.626900      5.00      5.00    75.022    57.513  -110.288    -40.00      5.00
  109     10.00     11.00     1.451      26.437901      37.925652       5.626900      5.00      5.00    87.195    53.854   -94.715    -35.00      5.00
  110      9.00     10.00     1.742      26.494699      37.923470       5.626900      5.00      5.00   101.253    54.652   -77.255    -30.00      5.00
  111      7.00     11.00     1.982      26.551500      37.921261       5.626900      5.00      5.00   106.245    57.905   -73.107    -25.00      5.00
  112      5.00     11.00     2.252      26.608299      37.919022       5.626900      5.00      5.00   107.284    59.454   -74.680    -20.00      5.00
  113      4.00     10.00     2.237      26.665091      37.916759       5.626900      5.00      5.00   104.146    56.758   -80.726    -15.00      5.00
  114      3.00     10.00     2.214      26.721880      37.914471       5.626900      5.00      5.00   102.650    54.906   -88.034    -10.00      5.00
  115      2.00     10.00     2.296      26.778660      37.912151       5.626900      5.00      5.00   103.045    52.997   -91.035     -5.00      5.00
  116      2.00     10.00     2.275      26.835440      37.909809       5.626900      5.00      5.00   103.719    51.767   -88.522      0.00      5.00
