      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      27.492390       0.040079       0.040079        24      23.0      24.0       0.292048
    -50.00    -15.00      23.119301       0.040692       0.040692        24      23.0      24.0       0.292048
    -50.00    -10.00      18.746201       0.033064       0.033064        24      23.0      24.0       0.292048
    -50.00     -5.00      14.373100       0.013424       0.013424        24      23.0      24.0       0.292048
    -50.00      0.00      10.000000       0.039999       0.039999        24      23.0      24.0       0.292048
    -50.00      5.00       5.626900       0.046507       0.046507        24      23.0      24.0       0.292048
    -45.00    -20.00      27.492390       0.037162       0.037162        24      23.0      24.0       0.292048
    -45.00    -15.00      23.119301       0.014790       0.014790        24      23.0      24.0       0.292048
    -45.00    -10.00      18.746201       0.024538       0.024538        24      23.0      24.0       0.292048
    -45.00     -5.00      14.373100       0.015657       0.015657        24      23.0      24.0       0.292048
    -45.00      0.00      10.000000       0.038188       0.038188        24      23.0      24.0       0.292048
    -45.00      5.00       5.626900       0.013652       0.013652        24      23.0      24.0       0.292048
    -40.00    -20.00      27.492390       0.000366       0.000366        24      23.0      24.0       0.292048
    -40.00    -15.00      23.119301       0.000519       0.000519        24      23.0      24.0       0.292048
    -40.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -40.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -40.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -40.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -35.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -30.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -25.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -20.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -15.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00    -15.00      23.119301       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00    -10.00      18.746201       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00     -5.00      14.373100       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.292048
    -10.00      5.00       5.626900       0.000000       0.000000        24      23.0      24.0       0.292048
     -5.00    -20.00      27.492390       0.000000       0.000000        24      23.0      24.0       0.292048
