      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -50.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -50.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -50.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -50.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -50.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -45.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -40.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -35.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -30.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
    -25.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
    -20.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
    -20.00    -15.00      23.119301       0.001535       0.001535         5       4.0       5.0       0.292048
    -20.00    -10.00      18.746201       0.018183       0.018183         5       4.0       5.0       0.292048
    -20.00     -5.00      14.373100       0.032589       0.032589         5       4.0       5.0       0.292048
    -20.00      0.00      10.000000       0.056991       0.056991         5       4.0       5.0       0.292048
    -20.00      5.00       5.626900       0.128851       0.128851         5       4.0       5.0       0.292048
    -15.00    -20.00      27.492390       0.001750       0.001750         5       4.0       5.0       0.292048
    -15.00    -15.00      23.119301       0.037089       0.037089         5       4.0       5.0       0.292048
    -15.00    -10.00      18.746201       0.036403       0.036403         5       4.0       5.0       0.292048
    -15.00     -5.00      14.373100       0.053837       0.053837         5       4.0       5.0       0.292048
    -15.00      0.00      10.000000       0.093616       0.093616         5       4.0       5.0       0.292048
    -15.00      5.00       5.626900       0.157450       0.157450         5       4.0       5.0       0.292048
    -10.00    -20.00      27.492390       0.020683       0.020683         5       4.0       5.0       0.292048
    -10.00    -15.00      23.119301       0.031160       0.031160         5       4.0       5.0       0.292048
    -10.00    -10.00      18.746201       0.045617       0.045617         5       4.0       5.0       0.292048
    -10.00     -5.00      14.373100       0.094052       0.094052         5       4.0       5.0       0.292048
    -10.00      0.00      10.000000       0.149727       0.149727         5       4.0       5.0       0.292048
    -10.00      5.00       5.626900       0.210244       0.210244         5       4.0       5.0       0.292048
     -5.00    -20.00      27.492390       0.034674       0.034674         5       4.0       5.0       0.292048
     -5.00    -15.00      23.119301       0.044102       0.044102         5       4.0       5.0       0.292048
     -5.00    -10.00      18.746201       0.046897       0.046897         5       4.0       5.0       0.292048
     -5.00     -5.00      14.373100       0.124000       0.124000         5       4.0       5.0       0.292048
     -5.00      0.00      10.000000       0.198698       0.198698         5       4.0       5.0       0.292048
     -5.00      5.00       5.626900       0.256064       0.256064         5       4.0       5.0       0.292048
      0.00    -20.00      27.492390       0.022853       0.022853         5       4.0       5.0       0.292048
      0.00    -15.00      23.119301       0.030426       0.030426         5       4.0       5.0       0.292048
      0.00    -10.00      18.746201       0.066806       0.066806         5       4.0       5.0       0.292048
      0.00     -5.00      14.373100       0.144246       0.144246         5       4.0       5.0       0.292048
      0.00      0.00      10.000000       0.234558       0.234558         5       4.0       5.0       0.292048
      0.00      5.00       5.626900       0.283680       0.283680         5       4.0       5.0       0.292048
      5.00    -20.00      27.492390       0.027010       0.027010         5       4.0       5.0       0.292048
      5.00    -15.00      23.119301       0.034051       0.034051         5       4.0       5.0       0.292048
      5.00    -10.00      18.746201       0.082992       0.082992         5       4.0       5.0       0.292048
      5.00     -5.00      14.373100       0.149025       0.149025         5       4.0       5.0       0.292048
      5.00      0.00      10.000000       0.234692       0.234692         5       4.0       5.0       0.292048
      5.00      5.00       5.626900       0.292046       0.292046         5       4.0       5.0       0.292048
     10.00    -20.00      27.492390       0.025511       0.025511         5       4.0       5.0       0.292048
     10.00    -15.00      23.119301       0.042769       0.042769         5       4.0       5.0       0.292048
     10.00    -10.00      18.746201       0.075344       0.075344         5       4.0       5.0       0.292048
     10.00     -5.00      14.373100       0.131082       0.131082         5       4.0       5.0       0.292048
     10.00      0.00      10.000000       0.192827       0.192827         5       4.0       5.0       0.292048
     10.00      5.00       5.626900       0.246878       0.246878         5       4.0       5.0       0.292048
     15.00    -20.00      27.492390       0.001224       0.001224         5       4.0       5.0       0.292048
     15.00    -15.00      23.119301       0.035941       0.035941         5       4.0       5.0       0.292048
     15.00    -10.00      18.746201       0.072399       0.072399         5       4.0       5.0       0.292048
     15.00     -5.00      14.373100       0.101107       0.101107         5       4.0       5.0       0.292048
     15.00      0.00      10.000000       0.117925       0.117925         5       4.0       5.0       0.292048
     15.00      5.00       5.626900       0.155026       0.155026         5       4.0       5.0       0.292048
     20.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     20.00    -15.00      23.119301       0.002701       0.002701         5       4.0       5.0       0.292048
     20.00    -10.00      18.746201       0.032227       0.032227         5       4.0       5.0       0.292048
     20.00     -5.00      14.373100       0.051264       0.051264         5       4.0       5.0       0.292048
     20.00      0.00      10.000000       0.020481       0.020481         5       4.0       5.0       0.292048
     20.00      5.00       5.626900       0.034735       0.034735         5       4.0       5.0       0.292048
     25.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     25.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     25.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     25.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     25.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     25.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     30.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     35.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     40.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     45.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00    -20.00      27.492390       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00    -15.00      23.119301       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00    -10.00      18.746201       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00     -5.00      14.373100       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00      0.00      10.000000       0.000000       0.000000         5       4.0       5.0       0.292048
     50.00      5.00       5.626900       0.000000       0.000000         5       4.0       5.0       0.292048
