    1   -0.424679   -0.801337   -0.285355    0.292589   -0.007234   -0.082937   -0.009766   -0.189789   104.26   308.76    52.16    40.49  -105.62   -70.88
    2   -0.303517   -0.643577   -1.185320    1.285742   -0.100422   -0.239312   -0.106000   -0.604148    99.68   302.10    50.01    42.22  -104.85   -73.01
    3    0.030455   -0.391655   -2.401846    2.584065   -0.182219   -0.272392   -0.115342   -0.957816   101.86   293.03    47.71    42.84   -97.57   -81.76
    4    0.497329   -0.838429   -3.347365    3.552222   -0.204856   -0.216152    0.064764   -1.124884   105.55   285.36    46.79    43.21   -89.87   -90.14
    5    0.378639   -1.436980   -3.746828    3.894700   -0.147872   -0.440492    0.474408   -0.908491   108.08   275.95    49.17    41.47   -82.00   -99.15
    6   -0.928863   -1.956373   -3.871593    3.936828   -0.065234   -0.740195    1.159039   -0.491250   111.09   263.01    53.03    40.47   -72.22  -112.09
    7   -1.659698   -2.389750   -4.010694    4.060111   -0.049417   -1.250972    1.507280   -0.175873   109.84   256.41    56.60    38.31   -70.03  -117.38
    8   -3.856508   -2.736995   -4.577427    4.566367    0.011061   -1.802697    1.494061   -0.129717   106.90   257.64    57.90    35.72   -73.42  -114.45
    9   -5.513389   -2.931710   -4.733498    4.712142    0.021356   -2.009535    1.247990   -0.372559   105.96   263.61    58.01    34.03   -77.71  -108.82
   10   -6.391602   -2.866243   -4.560795    4.575967   -0.015172   -2.097991    1.025218   -0.650469   106.01   269.79    58.36    32.68   -81.33  -103.76
   11   -6.044664   -3.068139   -4.296970    4.620725   -0.323755   -2.248846    0.776996   -0.822010   104.19   273.61    58.89    31.54   -84.49   -99.05
   12   -6.606416   -3.594187   -3.877148    4.490390   -0.613242   -2.135633    0.595814   -0.807150   102.55   274.23    58.82    31.45   -85.67   -97.11
   13   -7.050304   -3.738297   -3.573111    4.249061   -0.675950   -1.772080    0.536505   -0.706536   102.66   272.41    57.58    32.84   -84.46   -98.64
   14   -6.424537   -3.817685   -2.917468    3.554593   -0.637125   -1.767758    0.636930   -0.698586   105.84   270.86    60.01    30.86   -82.38  -102.94
   15   -5.441005   -4.631654   -2.131081    2.877758   -0.746677   -1.704469    0.777833   -0.678936   111.78   264.24    63.74    29.09   -77.00  -114.50
   16   -3.079961   -5.378403   -1.290841    2.219765   -0.928923   -1.060000    0.759876   -0.560604   124.74   247.40    67.47    37.55   -59.13  -141.04
   17   -0.892831   -5.422781   -0.891119    2.029476   -1.138357   -0.544750    0.606744   -0.346639   132.31   236.40    71.75    53.55   -38.72  -157.09
   18    0.695571   -5.026023   -0.746515    1.928249   -1.181734   -0.221109    0.517531   -0.082070   130.77   231.10    70.74    62.85   -28.91  -158.24
   19    0.888146   -5.047188   -0.980643    2.088616   -1.107973   -0.161512    0.468275    0.041739   125.69   231.81    64.51    59.79   -33.88  -150.13
   20   -1.266854   -4.935875   -0.979828    1.834876   -0.855048   -0.137859    0.165575    0.036220   117.89   238.95    56.68    51.87   -47.64  -135.71
   21   -0.525200   -5.109709   -0.534491    1.065212   -0.530721   -0.023014   -0.053225   -0.000413    55.52   305.01    60.05    58.69  -143.15   -35.76
   22   -3.058139   -8.060246   -0.172297    0.502133   -0.329836    0.105461   -0.067469   -0.066844   317.40    49.95    83.06    69.92   -20.24  -172.61
   23   -9.609348   -9.059065    0.171142    0.021747   -0.192889    0.218280   -0.024112   -0.166419   177.01    63.53    46.30    67.36    32.17   131.54
   24   -8.450763   -8.726217    0.149970   -0.099097   -0.050873    0.095617   -0.018244   -0.168106    77.19   198.49    61.61    46.14   128.03    41.26
   25   -4.370021   -8.522365   -0.036156    0.125047   -0.088891   -0.228344    0.183656   -0.716219   357.31   264.28    76.37    77.72    12.64   166.04
   26    5.177083  -11.167239   -0.181562    0.242578   -0.061016   -0.173281    0.188281    0.014844   120.52   240.65    72.19    32.62   -62.21  -145.43
   27   15.690228  -20.000000   -0.130312    0.179999   -0.049687   -0.108749    0.142499    0.108749   103.96   216.27    66.16    49.33   -45.43  -147.80
   28         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   180.00   360.00    45.00    45.00    90.00    90.00
   29         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   180.00   360.00    45.00    45.00    90.00    90.00
   30         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   180.00   360.00    45.00    45.00    90.00    90.00
