   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.149      26.261110      37.822941      27.492390      5.00      5.00    65.740    71.611  -179.319    -50.00    -20.00    0
    2     0.220      26.317841      37.820850      27.492390      5.00      5.00   191.563    52.782    72.300    -45.00    -20.00    1
    3     0.351      26.374559      37.818722      27.492390      5.00      5.00    70.731    46.304    99.804    -40.00    -20.00    0
    4     0.386      26.431280      37.816570      27.492390      5.00      5.00    64.070    46.773    79.914    -35.00    -20.00    0
    5     0.360      26.488001      37.814400      27.492390      5.00      5.00   274.607    50.089   125.078    -30.00    -20.00    0
    6     0.329      26.544720      37.812191      27.492390      5.00      5.00   279.167    49.987   131.390    -25.00    -20.00    0
    7     0.235      26.601431      37.809959      27.492390      5.00      5.00    52.339    56.165    47.380    -20.00    -20.00    0
    8     0.199      26.658140      37.807701      27.492390      5.00      5.00    69.639    46.528    47.365    -15.00    -20.00    0
    9     0.279      26.714840      37.805408      27.492390      5.00      5.00    79.355    50.676    65.677    -10.00    -20.00    0
   10     0.279      26.771540      37.803101      27.492390      5.00      5.00    91.728    50.248    81.410     -5.00    -20.00    0
   11     0.225      26.828239      37.800758      27.492390      5.00      5.00    85.548    50.774    70.771      0.00    -20.00    0
   12     0.184      26.884930      37.798389      27.492390      5.00      5.00    87.484    48.260    64.299      5.00    -20.00    0
   13     0.226      26.941620      37.796001      27.492390      5.00      5.00   198.185    30.171    96.613     10.00    -20.00    1
   14     0.247      26.998310      37.793571      27.492390      5.00      5.00   248.628    41.948   113.593     15.00    -20.00    0
   15     0.299      27.054991      37.791119      27.492390      5.00      5.00    66.739    47.742    81.233     20.00    -20.00    0
   16     0.423      27.111670      37.788639      27.492390      5.00      5.00   100.697    52.370   120.303     25.00    -20.00    0
   17     0.339      27.168341      37.786140      27.492390      5.00      5.00    96.876    55.613   111.327     30.00    -20.00    0
   18     0.240      27.225019      37.783611      27.492390      5.00      5.00    90.187    46.132   102.649     35.00    -20.00    0
   19     0.253      27.281679      37.781052      27.492390      5.00      5.00   177.882    12.212   102.108     40.00    -20.00    1
   20     0.338      27.338350      37.778461      27.492390      5.00      5.00   212.146     9.576   134.498     45.00    -20.00    1
