      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      23.767090       0.041328       0.041328        20      19.0      20.0       0.254626
    -50.00    -15.00      20.325319       0.050563       0.050563        20      19.0      20.0       0.254626
    -50.00    -10.00      16.883551       0.045032       0.045032        20      19.0      20.0       0.254626
    -50.00     -5.00      13.441770       0.035141       0.035141        20      19.0      20.0       0.254626
    -50.00      0.00      10.000000       0.030100       0.030100        20      19.0      20.0       0.254626
    -50.00      5.00       6.558230       0.034729       0.034729        20      19.0      20.0       0.254626
    -50.00     10.00       3.116450       0.039858       0.039858        20      19.0      20.0       0.254626
    -45.00    -20.00      23.767090       0.050253       0.050253        20      19.0      20.0       0.254626
    -45.00    -15.00      20.325319       0.064591       0.064591        20      19.0      20.0       0.254626
    -45.00    -10.00      16.883551       0.057651       0.057651        20      19.0      20.0       0.254626
    -45.00     -5.00      13.441770       0.052095       0.052095        20      19.0      20.0       0.254626
    -45.00      0.00      10.000000       0.050588       0.050588        20      19.0      20.0       0.254626
    -45.00      5.00       6.558230       0.059308       0.059308        20      19.0      20.0       0.254626
    -45.00     10.00       3.116450       0.066035       0.066035        20      19.0      20.0       0.254626
    -40.00    -20.00      23.767090       0.040122       0.040122        20      19.0      20.0       0.254626
    -40.00    -15.00      20.325319       0.056630       0.056630        20      19.0      20.0       0.254626
    -40.00    -10.00      16.883551       0.048685       0.048685        20      19.0      20.0       0.254626
    -40.00     -5.00      13.441770       0.047838       0.047838        20      19.0      20.0       0.254626
    -40.00      0.00      10.000000       0.046531       0.046531        20      19.0      20.0       0.254626
    -40.00      5.00       6.558230       0.060043       0.060043        20      19.0      20.0       0.254626
    -40.00     10.00       3.116450       0.069023       0.069023        20      19.0      20.0       0.254626
    -35.00    -20.00      23.767090       0.018633       0.018633        20      19.0      20.0       0.254626
    -35.00    -15.00      20.325319       0.030973       0.030973        20      19.0      20.0       0.254626
    -35.00    -10.00      16.883551       0.024883       0.024883        20      19.0      20.0       0.254626
    -35.00     -5.00      13.441770       0.033161       0.033161        20      19.0      20.0       0.254626
    -35.00      0.00      10.000000       0.032845       0.032845        20      19.0      20.0       0.254626
    -35.00      5.00       6.558230       0.039405       0.039405        20      19.0      20.0       0.254626
