   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.310      27.421591      37.833271      23.767090      5.00      5.00   194.498     6.161   107.253    -50.00    -20.00    1
    2     0.359      27.369310      37.850910      23.767090      5.00      5.00   336.131    86.495    85.983    -45.00    -20.00    0
    3     0.169      27.317020      37.868519      23.767090      5.00      5.00   334.597    65.705    97.478    -40.00    -20.00    0
    4     0.301      27.264700      37.886101      23.767090      5.00      5.00   270.061    51.633    84.337    -35.00    -20.00    0
    5     0.404      27.212351      37.903671      23.767090      5.00      5.00   259.135    44.915    74.502    -30.00    -20.00    0
    6     0.335      27.159981      37.921211      23.767090      5.00      5.00   247.791    46.224    57.832    -25.00    -20.00    0
    7     0.184      27.107580      37.938728      23.767090      5.00      5.00   267.625    24.950    95.651    -20.00    -20.00    0
    8     0.212      27.055161      37.956219      23.767090      5.00      5.00   163.893    31.727    33.133    -15.00    -20.00    1
    9     0.245      27.002710      37.973690      23.767090      5.00      5.00   174.990    31.707    38.475    -10.00    -20.00    1
   10     0.229      26.950239      37.991138      23.767090      5.00      5.00   175.917    38.372    28.201     -5.00    -20.00    1
   11     0.183      26.897739      38.008560      23.767090      5.00      5.00   171.478    58.234     6.283      0.00    -20.00    1
   12     0.166      26.845221      38.025959      23.767090      5.00      5.00   264.127    82.272  -177.066      5.00    -20.00    0
   13     0.176      26.792690      38.043339      23.767090      5.00      5.00   259.674    80.962   161.836     10.00    -20.00    0
   14     0.243      26.740120      38.060692      23.767090      5.00      5.00   112.848    78.545  -101.598     15.00    -20.00    1
   15     0.199      26.687519      38.078018      23.767090      5.00      5.00   101.011    83.379  -102.974     20.00    -20.00    1
   16     0.242      26.634899      38.095329      23.767090      5.00      5.00   335.991    23.478   -13.866     25.00    -20.00    0
   17     0.205      26.582260      38.112621      23.767090      5.00      5.00   328.154    36.254   -11.473     30.00    -20.00    0
   18     0.106      26.529591      38.129871      23.767090      5.00      5.00    50.323    10.266    90.872     35.00    -20.00    1
   19     0.103      26.476900      38.147110      23.767090      5.00      5.00    66.253    32.551    94.984     40.00    -20.00    1
   20     0.123      26.424179      38.164322      23.767090      5.00      5.00    36.551    25.741    63.383     45.00    -20.00    1
   21     0.130      26.371441      38.181511      23.767090      5.00      5.00   182.376    72.041    95.135     50.00    -20.00    1
   22     0.375      27.405451      37.803200      20.325319      5.00      5.00   218.975     8.775   136.643    -50.00    -15.00    1
   23     0.410      27.353201      37.820831      20.325319      5.00      5.00   201.531     6.515   132.270    -45.00    -15.00    1
   24     0.263      27.300920      37.838440      20.325319      5.00      5.00   158.770    15.647    88.937    -40.00    -15.00    1
   25     0.304      27.248619      37.856022      20.325319      5.00      5.00   262.612    51.817    82.978    -35.00    -15.00    0
   26     0.488      27.196289      37.873569      20.325319      5.00      5.00   261.132    41.754    74.218    -30.00    -15.00    0
   27     0.414      27.143930      37.891109      20.325319      5.00      5.00   113.559    53.645   121.480    -25.00    -15.00    1
   28     0.178      27.091551      37.908619      20.325319      5.00      5.00   313.687    32.576   114.175    -20.00    -15.00    0
   29     0.286      27.039150      37.926102      20.325319      5.00      5.00   159.460    28.042    33.725    -15.00    -15.00    1
   30     0.310      26.986719      37.943569      20.325319      5.00      5.00   157.349    32.782    27.602    -10.00    -15.00    1
   31     0.334      26.934271      37.961010      20.325319      5.00      5.00   252.156    82.437  -152.556     -5.00    -15.00    0
   32     0.323      26.881790      37.978432      20.325319      5.00      5.00   261.412    78.154  -167.969      0.00    -15.00    0
   33     0.318      26.829290      37.995819      20.325319      5.00      5.00   264.157    79.208   175.351      5.00    -15.00    0
   34     0.308      26.776770      38.013191      20.325319      5.00      5.00   355.159    55.836    -5.546     10.00    -15.00    1
   35     0.429      26.724211      38.030540      20.325319      5.00      5.00   313.841    16.563   -71.824     15.00    -15.00    0
   36     0.486      26.671640      38.047859      20.325319      5.00      5.00   312.254    10.371   -70.380     20.00    -15.00    0
   37     0.403      26.619040      38.065159      20.325319      5.00      5.00   290.157     9.951   -83.336     25.00    -15.00    0
   38     0.339      26.566410      38.082439      20.325319      5.00      5.00   328.093    15.980   -30.495     30.00    -15.00    0
   39     0.217      26.513760      38.099689      20.325319      5.00      5.00   239.803    78.063   104.850     35.00    -15.00    1
   40     0.127      26.461081      38.116920      20.325319      5.00      5.00   209.530    62.224    79.263     40.00    -15.00    1
   41     0.148      26.408381      38.134121      20.325319      5.00      5.00    54.793    30.930    93.370     45.00    -15.00    1
   42     0.142      26.355659      38.151299      20.325319      5.00      5.00   238.323    73.652    97.389     50.00    -15.00    1
   43     0.344      27.389339      37.773140      16.883551      5.00      5.00   347.826    86.777    78.415    -50.00    -10.00    1
   44     0.360      27.337099      37.790760      16.883551      5.00      5.00   257.847    12.175   179.085    -45.00    -10.00    0
   45     0.242      27.284840      37.808350      16.883551      5.00      5.00   250.772    25.415  -178.297    -40.00    -10.00    0
