      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.000000       0.000000        11      10.0      11.0       0.284096
    -50.00    -15.00      17.272141       0.000000       0.000000        11      10.0      11.0       0.284096
    -50.00    -10.00      14.848100       0.000000       0.000000        11      10.0      11.0       0.284096
    -50.00     -5.00      12.424050       0.000000       0.000000        11      10.0      11.0       0.284096
    -50.00      0.00      10.000000       0.000000       0.000000        11      10.0      11.0       0.284096
    -50.00      5.00       7.575950       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00    -20.00      19.696190       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00    -15.00      17.272141       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00    -10.00      14.848100       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00     -5.00      12.424050       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00      0.00      10.000000       0.000000       0.000000        11      10.0      11.0       0.284096
    -45.00      5.00       7.575950       0.000000       0.000000        11      10.0      11.0       0.284096
    -40.00    -20.00      19.696190       0.012942       0.012942        11      10.0      11.0       0.284096
    -40.00    -15.00      17.272141       0.020755       0.020755        11      10.0      11.0       0.284096
    -40.00    -10.00      14.848100       0.040359       0.040359        11      10.0      11.0       0.284096
    -40.00     -5.00      12.424050       0.042720       0.042720        11      10.0      11.0       0.284096
    -40.00      0.00      10.000000       0.020573       0.020573        11      10.0      11.0       0.284096
    -40.00      5.00       7.575950       0.027828       0.027828        11      10.0      11.0       0.284096
    -35.00    -20.00      19.696190       0.033066       0.033066        11      10.0      11.0       0.284096
    -35.00    -15.00      17.272141       0.043626       0.043626        11      10.0      11.0       0.284096
    -35.00    -10.00      14.848100       0.036890       0.036890        11      10.0      11.0       0.284096
    -35.00     -5.00      12.424050       0.019649       0.019649        11      10.0      11.0       0.284096
    -35.00      0.00      10.000000       0.039799       0.039799        11      10.0      11.0       0.284096
    -35.00      5.00       7.575950       0.060491       0.060491        11      10.0      11.0       0.284096
    -30.00    -20.00      19.696190       0.042077       0.042077        11      10.0      11.0       0.284096
    -30.00    -15.00      17.272141       0.052589       0.052589        11      10.0      11.0       0.284096
    -30.00    -10.00      14.848100       0.035342       0.035342        11      10.0      11.0       0.284096
    -30.00     -5.00      12.424050       0.026544       0.026544        11      10.0      11.0       0.284096
    -30.00      0.00      10.000000       0.063065       0.063065        11      10.0      11.0       0.284096
    -30.00      5.00       7.575950       0.094710       0.094710        11      10.0      11.0       0.284096
    -25.00    -20.00      19.696190       0.046396       0.046396        11      10.0      11.0       0.284096
    -25.00    -15.00      17.272141       0.045345       0.045345        11      10.0      11.0       0.284096
    -25.00    -10.00      14.848100       0.026363       0.026363        11      10.0      11.0       0.284096
    -25.00     -5.00      12.424050       0.031745       0.031745        11      10.0      11.0       0.284096
