      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.045340       0.045340        24      23.0      24.0       0.284096
    -50.00    -15.00      17.272141       0.040502       0.040502        24      23.0      24.0       0.284096
    -50.00    -10.00      14.848100       0.027036       0.027036        24      23.0      24.0       0.284096
    -50.00     -5.00      12.424050       0.024175       0.024175        24      23.0      24.0       0.284096
    -50.00      0.00      10.000000       0.017928       0.017928        24      23.0      24.0       0.284096
    -50.00      5.00       7.575950       0.020300       0.020300        24      23.0      24.0       0.284096
    -45.00    -20.00      19.696190       0.036469       0.036469        24      23.0      24.0       0.284096
    -45.00    -15.00      17.272141       0.024866       0.024866        24      23.0      24.0       0.284096
    -45.00    -10.00      14.848100       0.007551       0.007551        24      23.0      24.0       0.284096
    -45.00     -5.00      12.424050       0.020648       0.020648        24      23.0      24.0       0.284096
    -45.00      0.00      10.000000       0.022103       0.022103        24      23.0      24.0       0.284096
    -45.00      5.00       7.575950       0.022156       0.022156        24      23.0      24.0       0.284096
    -40.00    -20.00      19.696190       0.000614       0.000614        24      23.0      24.0       0.284096
    -40.00    -15.00      17.272141       0.000190       0.000190        24      23.0      24.0       0.284096
    -40.00    -10.00      14.848100       0.000000       0.000000        24      23.0      24.0       0.284096
    -40.00     -5.00      12.424050       0.000000       0.000000        24      23.0      24.0       0.284096
    -40.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.284096
    -40.00      5.00       7.575950       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00    -20.00      19.696190       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00    -15.00      17.272141       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00    -10.00      14.848100       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00     -5.00      12.424050       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00      0.00      10.000000       0.000000       0.000000        24      23.0      24.0       0.284096
    -35.00      5.00       7.575950       0.000000       0.000000        24      23.0      24.0       0.284096
    -30.00    -20.00      19.696190       0.000000       0.000000        24      23.0      24.0       0.284096
