      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      19.696190       0.035580       0.035580        21      20.0      21.0       0.284096
    -50.00    -15.00      17.272141       0.032704       0.032704        21      20.0      21.0       0.284096
    -50.00    -10.00      14.848100       0.033225       0.033225        21      20.0      21.0       0.284096
    -50.00     -5.00      12.424050       0.023504       0.023504        21      20.0      21.0       0.284096
    -50.00      0.00      10.000000       0.018235       0.018235        21      20.0      21.0       0.284096
    -50.00      5.00       7.575950       0.011212       0.011212        21      20.0      21.0       0.284096
    -45.00    -20.00      19.696190       0.046007       0.046007        21      20.0      21.0       0.284096
    -45.00    -15.00      17.272141       0.040563       0.040563        21      20.0      21.0       0.284096
    -45.00    -10.00      14.848100       0.038872       0.038872        21      20.0      21.0       0.284096
    -45.00     -5.00      12.424050       0.028120       0.028120        21      20.0      21.0       0.284096
    -45.00      0.00      10.000000       0.021324       0.021324        21      20.0      21.0       0.284096
    -45.00      5.00       7.575950       0.024505       0.024505        21      20.0      21.0       0.284096
    -40.00    -20.00      19.696190       0.037297       0.037297        21      20.0      21.0       0.284096
    -40.00    -15.00      17.272141       0.032543       0.032543        21      20.0      21.0       0.284096
    -40.00    -10.00      14.848100       0.027420       0.027420        21      20.0      21.0       0.284096
    -40.00     -5.00      12.424050       0.018110       0.018110        21      20.0      21.0       0.284096
    -40.00      0.00      10.000000       0.012370       0.012370        21      20.0      21.0       0.284096
    -40.00      5.00       7.575950       0.024948       0.024948        21      20.0      21.0       0.284096
    -35.00    -20.00      19.696190       0.024152       0.024152        21      20.0      21.0       0.284096
    -35.00    -15.00      17.272141       0.022490       0.022490        21      20.0      21.0       0.284096
    -35.00    -10.00      14.848100       0.006306       0.006306        21      20.0      21.0       0.284096
    -35.00     -5.00      12.424050       0.011276       0.011276        21      20.0      21.0       0.284096
    -35.00      0.00      10.000000       0.006584       0.006584        21      20.0      21.0       0.284096
    -35.00      5.00       7.575950       0.007625       0.007625        21      20.0      21.0       0.284096
    -30.00    -20.00      19.696190       0.014132       0.014132        21      20.0      21.0       0.284096
    -30.00    -15.00      17.272141       0.000000       0.000000        21      20.0      21.0       0.284096
    -30.00    -10.00      14.848100       0.000000       0.000000        21      20.0      21.0       0.284096
    -30.00     -5.00      12.424050       0.000000       0.000000        21      20.0      21.0       0.284096
    -30.00      0.00      10.000000       0.000000       0.000000        21      20.0      21.0       0.284096
    -30.00      5.00       7.575950       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00    -20.00      19.696190       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00    -15.00      17.272141       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00    -10.00      14.848100       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00     -5.00      12.424050       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00      0.00      10.000000       0.000000       0.000000        21      20.0      21.0       0.284096
    -25.00      5.00       7.575950       0.000000       0.000000        21      20.0      21.0       0.284096
    -20.00    -20.00      19.696190       0.000000       0.000000        21      20.0      21.0       0.284096
    -20.00    -15.00      17.272141       0.000000       0.000000        21      20.0      21.0       0.284096
    -20.00    -10.00      14.848100       0.000000       0.000000        21      20.0      21.0       0.284096
